#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-14T16:25:58 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5c13cdb4b317 
#INFO -out.max=unlimited 
#INFO queryParameters=23 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/ApJ/699/L139&tab:{J/ApJ/699/L139/table1}&key:source=J/ApJ/699/L139&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/699/L139/table1
#-order=I
#-out=SN
#-out=cz
#-out=VMAG
#-out=e_VMAG
#-out=Dm15
#-out=e_Dm15
#-out=B-V
#-out=e_B-V
#-out=E(B-V)
#-out=e_E(B-V)
#-out=Type
#W06=W06
#Simbad=Simbad
#NED=NED
#

#RESOURCE=yCat_16999139
#Name: J/ApJ/699/L139
#Title: Spectral parameters of SNe Ia (Wang+, 2009)
#Table J_ApJ_699_L139_table1:
#Name: J/ApJ/699/L139/table1
#Title: Observed parameters of the SN Ia sample
#---Details of Columns:
#    SN             (A6)    Supernova identification (YYYYaa) [ucd=meta.id;meta.main]
#    cz (km/s)      (I5)    Recession velocity (2) [ucd=phys.veloc]
#    VMAG (mag)     (F6.2)  Absolute V band magnitude at maximum [ucd=phys.magAbs;em.opt.V]
#    e_VMAG (mag)   (F5.2)  The 1{sigma} uncertainty in VMAG [ucd=stat.error]
#    Dm15 (mag)     (F5.2)  Luminosity decline rate {Delta}m_15_ (3) [ucd=src.var.amplitude]
#    e_Dm15 (mag)   (F5.2)  The 1{sigma} uncertainty in Delm15 [ucd=stat.error]
#    B-V (mag)      (F5.2)  The (B-V) color index at maximum [ucd=phot.color;em.opt.B;em.opt.V]
#    e_B-V (mag)    (F5.2)  The 1{sigma} uncertainty in B-V [ucd=stat.error;phot.color;em.opt.B]
#    E(B-V) (mag)   (F5.2)  Host galaxy (B-V) color excess [ucd=phot.color.excess]
#    e_E(B-V) (mag) (F5.2)  Uncertainty in E(B-V) [ucd=stat.error]
#    Type           (A2)    SN type ("HV" or "N" for normal) (4) [ucd=meta.code]
#------ ----- ------ ----- ----- ----- ----- ----- ----- ----- --
#                    e_          e_          e     E(    e_E(    
#       cz (  VMAG   VMAG  Dm15  Dm15  B-V   _B-V  B-V)  B-V)  Ty
#SN     km/s) (mag)  (mag) (mag) (mag) (mag) (mag) (mag) (mag) pe
#------ ----- ------ ----- ----- ----- ----- ----- ----- ----- --
1989B    549 -18.15  0.15  1.35  0.05  0.32  0.07  0.39  0.05 N
1990N   1179 -19.09  0.14  1.05  0.05  0.00  0.05  0.11  0.04 N
1994ae  1575 -19.35  0.15  0.89  0.05 -0.05  0.05  0.04  0.04 N
1994D   1179 -19.26  0.57  1.31  0.05 -0.08  0.05 -0.04  0.04 N
1995D   2129 -19.18  0.31  1.02  0.05 -0.02  0.05  0.09  0.04 N
1995E   3496 -17.48  0.19  1.17  0.07  0.70  0.05  0.78  0.05 N
1996ai  1174 -15.94  0.57  1.00  0.08  1.69  0.05  1.75  0.08 N
1996X   2120 -19.36  0.31  1.34  0.05 -0.01  0.05  0.06  0.04 N
1997dt  2356 -17.72  0.29  1.11  0.10  0.50  0.10  0.59  0.09 N
1997E   4055 -18.73  0.18  1.42  0.05  0.02  0.11  0.11  0.09 N
1998aq  1514 -19.25  0.14  1.05  0.05 -0.11  0.04 -0.02  0.04 N
1998bu   810 -18.36  0.14  1.06  0.04  0.33  0.04  0.42  0.04 N
1998dm  1976 -17.86  0.33  0.91  0.05  0.30  0.04  0.39  0.05 N
1998eg  7056 -18.84  0.11  1.17  0.10  0.00  0.08  0.12  0.06 N
1999bh  5295 -16.64  0.13  1.57  0.20  0.87  0.09  0.90  0.12 N
1999cp  3112 -19.28  0.21  1.02  0.03  0.01  0.03  0.07  0.04 N
1999dg  6782 -18.97  0.10  1.45  0.08 -0.05  0.06  0.02  0.04 N
1999ee  3163 -18.70  0.21  0.96  0.05  0.29  0.04  0.38  0.04 N
1999ej  4630 -18.70  0.14  1.54  0.05  0.00  0.04  0.03  0.04 N
1999gd  5775 -18.10  0.12  1.13  0.10  0.41  0.08  0.50  0.07 N
2000ca  7080 -19.39  0.10  0.96  0.05 -0.09  0.04  0.02  0.04 N
2000ce  4940 -17.74  0.17  1.00  0.10  0.59  0.16  0.66  0.12 N
2000cf 10930 -18.90  0.07  1.43  0.05 -0.02  0.04  0.04  0.05 N
2000cn  6958 -18.53  0.10  1.57  0.05  0.18  0.04  0.20  0.05 N
2000cp 10341 -18.16  0.12  1.10  0.10  0.37  0.14  0.45  0.07 N
2000cw  8692 -18.77  0.08  1.26  0.05  0.01  0.03  0.14  0.08 N
2000dk  4932 -18.93  0.14  1.66  0.03 -0.01  0.04 -0.01  0.04 N
2000dm  4393 -18.88  0.15  1.45  0.06 -0.05  0.04 -0.01  0.04 N
2000dn  9248 -18.99  0.08  1.04  0.06  0.00  0.04  0.11  0.04 N
2000dr  5332 -18.52  0.13  1.73  0.05  0.10  0.04  0.05  0.04 N
