,Name
88,1994ae
86,1995e
87,1996bo
85,1996x
97,1997bp
98,1997do
95,1997dt
96,1997e
102,1998dh
94,1998dm
104,1998ec
90,1998ef
99,1998eg
92,1999cc
254,1999cp
101,1999ej
105,1999gd
103,2000ce
91,2000cf
89,2000cn
237,2000cp
238,2000cw
100,2000dk
239,2000dm
240,2000dn
241,2000dr
93,2000fa
151,2001ay
136,2001bf
243,2001bg
244,2001br
246,2001ck
242,2001e
108,2001en
107,2001ep
119,2001fe
115,2001fh
234,2002aw
118,2002bo
117,2002cd
114,2002cr
233,2002cs
223,2002cu
109,2002de
116,2002dj
150,2002dp
224,2002eb
225,2002ef
227,2002er
106,2002fk
113,2002ha
135,2002he
121,2002hu
140,2002hw
228,2002jg
137,2003du
229,2003gt
230,2003he
120,2003kf
139,2003w
149,2004as
248,2004at
249,2004bw
69,2004ef
71,2004eo
72,2004ey
250,2004fz
73,2004gc
75,2004gs
232,2004s
77,2005a
83,2005ag
84,2005am
66,2005bg
51,2005bo
148,2005cf
252,2005de
54,2005el
55,2005eq
56,2005hc
57,2005hj
81,2005kc
63,2005ki
62,2005ku
147,2005lz
78,2005m
61,2005mc
146,2005ms
58,2005na
80,2005w
143,2006ac
67,2006ax
142,2006az
52,2006bh
141,2006bq
50,2006br
126,2006cp
65,2006d
253,2006dm
79,2006ef
76,2006ej
125,2006en
74,2006eq
70,2006et
64,2006ev
49,2006fw
124,2006gr
15,2006hx
16,2006is
17,2006kf
123,2006le
122,2006lf
145,2006n
18,2006ob
20,2006os
21,2006py
144,2006s
134,2006sr
22,2007a
24,2007af
26,2007as
13,2007ax
19,2007ba
12,2007bc
6,2007bd
1,2007bm
2,2007ca
130,2007ci
129,2007co
132,2007f
3,2007hj
4,2007jd
5,2007jg
10,2007le
0,2007n
7,2007nq
131,2007o
8,2007on
128,2007qe
41,2008ar
42,2008bc
43,2008bf
44,2008bq
45,2008bz
11,2008c
46,2008cf
47,2008fp
48,2008fr
40,2008gl
28,2008hj
29,2008hu
30,2008hv
31,2008ia
27,2008r
35,2009aa
36,2009ab
37,2009ad
38,2009ag
32,2009d
33,2009f
34,2009y
216,asassn-15sf
