,Name,Filter,mwebv_corr,ra,dec,mwebv
0,2004dt,CSP-u,0.10847525057220808,02:02:12.770,-00:05:51.50,0.02282491241073472
0,2004dt,CSP-g,0.0855555332316078,02:02:12.770,-00:05:51.50,0.02282491241073472
0,2004dt,CSP-r,0.05925059898635343,02:02:12.770,-00:05:51.50,0.02282491241073472
0,2004dt,CSP-i,0.043073318189037924,02:02:12.770,-00:05:51.50,0.02282491241073472
0,2004dt,CSP-B,0.09299482778743418,02:02:12.770,-00:05:51.50,0.02282491241073472
0,2004dt,CSP-V0,0.07191668647003979,02:02:12.770,-00:05:51.50,0.02282491241073472
1,2004ef,CSP-u,0.22444014618244834,22:42:10.020,+19:59:40.42,0.04722868608216559
1,2004ef,CSP-g,0.17693831982089936,22:42:10.020,+19:59:40.42,0.04722868608216559
1,2004ef,CSP-r,0.1225702037826526,22:42:10.020,+19:59:40.42,0.04722868608216559
1,2004ef,CSP-i,0.08911173108813575,22:42:10.020,+19:59:40.42,0.04722868608216559
1,2004ef,CSP-B,0.19237358984459263,22:42:10.020,+19:59:40.42,0.04722868608216559
1,2004ef,CSP-V0,0.14877097274583662,22:42:10.020,+19:59:40.42,0.04722868608216559
1,2004ef,CSP-Ydw,0.051606083278558756,22:42:10.020,+19:59:40.42,0.04722868608216559
1,2004ef,CSP-Jdw,0.038539116110099414,22:42:10.020,+19:59:40.42,0.04722868608216559
1,2004ef,CSP-Hdw,0.02478027835823937,22:42:10.020,+19:59:40.42,0.04722868608216559
2,2004eo,CSP-u,0.4414133738549262,20:32:54.190,+09:55:42.71,0.09289685377505774
2,2004eo,CSP-g,0.34769575992580926,20:32:54.190,+09:55:42.71,0.09289685377505774
2,2004eo,CSP-r,0.24098184861818384,20:32:54.190,+09:55:42.71,0.09289685377505774
2,2004eo,CSP-i,0.17522602712936752,20:32:54.190,+09:55:42.71,0.09289685377505774
2,2004eo,CSP-B,0.37821076512847185,20:32:54.190,+09:55:42.71,0.09289685377505774
2,2004eo,CSP-V0,0.29248978483813204,20:32:54.190,+09:55:42.71,0.09289685377505774
2,2004eo,CSP-Ydw,0.10149652086894889,20:32:54.190,+09:55:42.71,0.09289685377505774
2,2004eo,CSP-Jdw,0.07579598623977368,20:32:54.190,+09:55:42.71,0.09289685377505774
2,2004eo,CSP-Hdw,0.04873823760229179,20:32:54.190,+09:55:42.71,0.09289685377505774
3,2004ey,CSP-u,0.5615496484640479,21:49:07.810,+00:26:39.19,0.11818747015560557
