Name_upper,Filter,peakmjd,peakmag
AT2016EWS,Foundation-g,57619.95410500586,17.040188280885502
AT2016EWS,Foundation-r,57619.95410500586,17.234558176338144
AT2016EWS,Foundation-i,57619.95410500586,17.871730440363958
AT2016EWS,Foundation-z,57619.95410500586,17.94268487803943
AT2016HNS,Foundation-g,57697.42879919332,17.053734835289664
AT2016HNS,Foundation-r,57697.42879919332,17.11417640834632
AT2016HNS,Foundation-i,57697.42879919332,17.643504879678794
AT2016HNS,Foundation-z,57697.42879919332,17.706204062464302
PSNJ2310226,Foundation-g,57281.17876087233,17.684926433243167
PSNJ2310226,Foundation-r,57281.17876087233,17.624735556780337
PSNJ2310226,Foundation-i,57281.17876087233,17.928746360358215
PSNJ2310226,Foundation-z,57281.17876087233,18.00644043443691
AT2016HTN,Foundation-g,57701.185308228865,17.96671372250699
AT2016HTN,Foundation-r,57701.185308228865,17.934419454744297
AT2016HTN,Foundation-i,57701.185308228865,18.417167028236502
AT2016HTN,Foundation-z,57701.185308228865,18.546849593304437
PS15CKU,Foundation-g,57319.22205032293,16.031796000592553
PS15CKU,Foundation-r,57319.22205032293,16.083967568046933
PS15CKU,Foundation-i,57319.22205032293,17.062905146537553
PS15CKU,Foundation-z,57319.22205032293,16.559194121393187
PS15DPL,Foundation-g,57400.61767378372,17.0369674809558
PS15DPL,Foundation-r,57400.61767378372,16.843679873581483
PS15DPL,Foundation-i,57400.61767378372,17.3223100470956
PS15DPL,Foundation-z,57400.61767378372,17.138389151031074
PS15BZZ,Foundation-g,57284.36906974856,18.52397584315452
PS15BZZ,Foundation-r,57284.36906974856,18.569794510999408
PS15BZZ,Foundation-i,57284.36906974856,19.013635416501455
PS15BZZ,Foundation-z,57284.36906974856,19.361574441698817
ASASSN-15UW,Foundation-g,57393.038376308024,16.77325328846519
ASASSN-15UW,Foundation-r,57393.038376308024,16.835044981566412
ASASSN-15UW,Foundation-i,57393.038376308024,17.203679195600643
ASASSN-15UW,Foundation-z,57393.038376308024,17.359462575984086
SN2017MU,Foundation-g,57772.711585220466,18.72015362851252
SN2017MU,Foundation-r,57772.711585220466,18.469277248202456
SN2017MU,Foundation-i,57772.711585220466,19.321046430266648
SN2017MU,Foundation-z,57772.711585220466,19.509117800790865
IPTF17DZ,Foundation-g,57766.834387966104,19.03178590008265
IPTF17DZ,Foundation-r,57766.834387966104,19.17865670223697
IPTF17DZ,Foundation-i,57766.834387966104,19.60401491942639
IPTF17DZ,Foundation-z,57766.834387966104,20.720588188813846
MASTERJ013415.01,Foundation-g,57665.39150026538,16.71276475186451
MASTERJ013415.01,Foundation-r,57665.39150026538,17.01908268123149
MASTERJ013415.01,Foundation-i,57665.39150026538,17.63530323918488
MASTERJ013415.01,Foundation-z,57665.39150026538,17.708883803451176
SN2017HN,Foundation-g,57768.14943227214,15.95641023393942
SN2017HN,Foundation-r,57768.14943227214,16.048214141699344
SN2017HN,Foundation-i,57768.14943227214,16.632269734944746
SN2017HN,Foundation-z,57768.14943227214,16.68973713189679
SN2017MF,Foundation-g,57778.996991512686,16.22964706742517
SN2017MF,Foundation-r,57778.996991512686,16.203375434131093
SN2017MF,Foundation-i,57778.996991512686,16.653098701465584
SN2017MF,Foundation-z,57778.996991512686,16.70422950102527
ASASSN-17FD,Foundation-g,57871.559921650056,16.140826824574386
ASASSN-17FD,Foundation-r,57871.559921650056,16.06436742843023
ASASSN-17FD,Foundation-i,57871.559921650056,16.602275041699944
ASASSN-17FD,Foundation-z,57871.559921650056,16.589035824700694
ASASSN-16HC,Foundation-g,57582.99289061337,17.14654741485362
ASASSN-16HC,Foundation-r,57582.99289061337,17.30270079371335
ASASSN-16HC,Foundation-i,57582.99289061337,17.99500348566908
ASASSN-16HC,Foundation-z,57582.99289061337,18.05739857688631
ASASSN-15KX,Foundation-g,57191.60609857367,16.082251392774296
ASASSN-15KX,Foundation-r,57191.60609857367,16.064064755791794
ASASSN-15KX,Foundation-i,57191.60609857367,16.48228533136704
ASASSN-15KX,Foundation-z,57191.60609857367,16.47755063226019
ASASSN-16DW,Foundation-g,57482.483772823485,17.012972378829947
ASASSN-16DW,Foundation-r,57482.483772823485,16.925372005651493
ASASSN-16DW,Foundation-i,57482.483772823485,17.413156477830373
ASASSN-16DW,Foundation-z,57482.483772823485,17.615521878889382
SN2017JL,Foundation-g,57785.049796619285,14.93106317839878
SN2017JL,Foundation-r,57785.049796619285,14.966779249404356
SN2017JL,Foundation-i,57785.049796619285,15.895327687030488
SN2017JL,Foundation-z,57785.049796619285,15.525181768015639
