# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where filename in ('sn2003kc-20031203.49-fast.flm','sn2002kf-20021231.34-fast.flm','SN07as_070319_b01_DUP_BC.dat','sn2006ej-20060824.430-ui.flm','SN07jg_070922_b01_CLA_LD.dat','sn2003W-20030209.35-fast.flm','sn2003W-20030210.35-fast.flm','sn2003ch-20030325.16-fast.flm','sn2003ch-20030327.13-fast.flm','sn2003ch-20030328.14-fast.flm','2002bo_20020322_3200_8974_00.dat','2002bo_20020323_3356_10385_00.dat','sn2002bo-20020322-ui-corrected.flm','sn2002bo-20020322.17-fast.flm','SN05ku_051125_b01_DUP_MS.dat','sn2007bz-20070426.419-ui.flm','sn1997bp-19970409.29-fast.flm','sn1997bp-19970410.27-fast.flm','sn1997bp-19970411.30-fast.flm','sn1998dk-19980831-ui.flm','sn1998dh-19980804.36-fast.flm','sn1998ef-19981029.31-fast.flm','sn2005na-20060104.34-fast.flm','sn2005na-20060105.335-ui.flm','sn2005na-20060106.361-ui-corrected.flm','kyle_foundation_2017oz_phase=-3.82531764956.txt','kyle_foundation_2017po_phase=-0.345116699194.txt','kyle_foundation_asassn15go_phase=-0.300830730375.txt','kyle_foundation_asassn15od_phase=-1.58367556708.txt','kyle_foundation_asassn15uw_phase=-1.94283563048.txt','kyle_foundation_asassn16fs_phase=4.38281493353.txt','kyle_foundation_ps16bnz_phase=-3.2910765016.txt','kyle_foundation_2016glp_phase=-3.45854332022.txt','kyle_foundation_asassn15go_phase=0.680597699448.txt')
# N = 23
# N_spec = 34
# phase = -0.35
# x1 = nan
# vel = -12.59
# z = nan

  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper         Phase         x1     Redshift    Velocity    SNe per Bin
------------  -----------  ---------------  ---------------  ------------  ---------  -----------  ----------  -------------
        3144  0.37462          9.79039e-05      7.53887e-05  -0.300831     nan          0.01892      -13.0786              1
        3146  0.375788         9.82092e-05      7.56238e-05  -0.300831     nan          0.01892      -13.0786              1
        3148  0.505173         0.000132023      0.000101661  -0.300831     nan          0.01892      -13.0786              1
        3150  0.589942         0.000154177      0.00011872   -0.300831     nan          0.01892      -13.0786              1
        3152  0.76016          0.000198662      0.000152975  -0.300831     nan          0.01892      -13.0786              1
        3154  0.973623         0.000254448      0.000195932  -0.300831     nan          0.01892      -13.0786              1
        3156  1.2879           0.000336582      0.000259178  -0.300831     nan          0.01892      -13.0786              1
        3158  0.969225         0.000253299      0.000195047  -0.300831     nan          0.01892      -13.0786              1
        3160  0.795219         0.000207824      0.00016003   -0.300831     nan          0.01892      -13.0786              1
        3162  1.03578          0.000270693      0.000208441  -0.300831     nan          0.01892      -13.0786              1
        3164  1.23541          0.000322865      0.000248615  -0.300831     nan          0.01892      -13.0786              1
        3166  1.11533          0.000291483      0.00022445   -0.300831     nan          0.01892      -13.0786              1
        3168  0.724214         0.000189267      0.000145741  -0.300831     nan          0.01892      -13.0786              1
        3170  0.870728         0.000227558      0.000175226  -0.300831     nan          0.01892      -13.0786              1
        3172  0.98136          0.00025647       0.000197489  -0.300831     nan          0.01892      -13.0786              1
        3174  0.89344          0.000233493      0.000179796  -0.300831     nan          0.01892      -13.0786              1
        3176  0.802889         0.000209828      0.000161574  -0.300831     nan          0.01892      -13.0786              1
        3178  0.941468         0.000246045      0.000189462  -0.300831     nan          0.01892      -13.0786              1
        3180  0.991959         0.00025924       0.000199622  -0.300831     nan          0.01892      -13.0786              1
        3182  0.73226          0.00019137       0.00014736   -0.300831     nan          0.01892      -13.0786              1
        3184  0.676939         0.000176912      0.000136227  -0.300831     nan          0.01892      -13.0786              1
        3186  0.698854         0.00018264       0.000140638  -0.300831     nan          0.01892      -13.0786              1
        3188  0.903791         0.000236198      0.000181879  -0.300831     nan          0.01892      -13.0786              1
        3190  1.09543          2.19357          0.000253313  -0.300997     nan          0.01892      -13.0786              2
        3192  0.869966         1.0875           0.000158194  -0.300995     nan          0.01892      -13.0786              2
        3194  0.964409         0.284723         0.000130163  -0.300994     nan          0.01892      -13.0786              2
        3196  0.794116         0.000197015      0.733032     -0.300992     nan          0.01892      -13.0786              2
        3198  0.56104          0.00020614       1.56043      -0.300991     nan          0.01892      -13.0786              2
        3200  0.839212         0.000213633      0.856946     -0.300989     nan          0.01892      -13.0786              2
        3202  0.713736         0.000133511      0.189814     -0.300988     nan          0.01892      -13.0786              2
        3204  0.648084         0.000138939      0.0295744    -0.300986     nan          0.01892      -13.0786              2
        3206  0.722271         0.000159523      0.475307     -0.300985     nan          0.01892      -13.0786              2
        3208  0.913955         0.387677         0.000129751  -0.300983     nan          0.01892      -13.0786              2
        3210  0.823529         1.36082          0.000170837  -0.300981     nan          0.01892      -13.0786              2
        3212  0.60006          0.969027         0.000123087  -0.30098      nan          0.01892      -13.0786              2
        3214  0.84507          0.485609         0.000127264  -0.300978     nan          0.01892      -13.0786              2
        3216  0.887952         0.788733         0.000150736  -0.300977     nan          0.01892      -13.0786              2
        3218  0.773362         1.61302          0.00017198   -0.300975     nan          0.01892      -13.0786              2
        3220  0.839367         1.02993          0.000131554  -0.300974     nan          0.01892      -13.0786              2
        3222  0.789375         0.661861         0.000130282  -0.300972     nan          0.01892      -13.0786              2
        3224  1.00571          1.18886          0.000153982  -0.300971     nan          0.01892      -13.0786              2
        3226  0.624234         0.508917         0.00010152   -0.300969     nan          0.01892      -13.0786              2
        3228  1.05116          0.33831          0.639004      0.0194075    nan          0.01892      -12.2693              3
        3230  1.27294          0.345355         0.66419       0.0163571    nan          0.01892      -12.2788              3
        3232  1.28284          0.478037         0.933554      0.0139296    nan          0.01892      -12.2867              3
        3234  1.28931          0.413878         0.822089      0.0115596    nan          0.01892      -12.2943              3
        3236  1.19901          0.407814         0.821677      0.00879352   nan          0.01892      -12.303               3
        3238  1.25585          0.368399         0.752022      0.00669704   nan          0.01892      -12.3098              3
        3240  1.20314          0.269646         0.557688      0.00462237   nan          0.01892      -12.3166              3
        3242  1.16332          0.303911         0.637021      0.00250066   nan          0.01892      -12.3234              3
        3244  1.1066           0.368072         0.784543     -0.000284821  nan          0.01892      -12.332               3
        3246  1.05607          0.34198          0.741758     -0.00322337   nan          0.01892      -12.3408              3
        3248  1.00561          0.229796         0.508359     -0.0060009    nan          0.01892      -12.3493              3
        3250  1.00834          0.202657         0.456326     -0.00890876   nan          0.01892      -12.3579              3
        3252  1.1028           0.228581         0.522804     -0.0114995    nan          0.01892      -12.3658              3
        3254  1.16883          0.220948         0.512577     -0.0143431    nan          0.01892      -12.3742              3
        3256  1.32557          0.109032         0.197829     -0.250374     nan          0.01892      -12.4318              4
        3258  1.38886          0.120028         0.226938     -0.250159     nan          0.01892      -12.4342              4
        3260  1.17873          0.147303         0.15855      -0.447186     nan          0.01892      -12.4371              5
        3262  1.12393          0.11807          0.115399     -0.446283     nan          0.01892      -12.4403              5
        3264  1.11651          0.138537         0.101259     -0.44584      nan          0.01892      -12.4427              5
        3266  1.17841          0.159196         0.108182     -0.445827     nan          0.01892      -12.4456              5
        3268  1.19274          0.143018         0.111301     -0.445436     nan          0.01892      -12.4488              5
        3270  1.20191          0.170004         0.116474     -0.445041     nan          0.01892      -12.4523              5
        3272  1.21729          0.180559         0.133203     -0.410281       1.05       0.01892      -12.4548              6
        3274  1.21361          0.168012         0.130243     -0.410505       1.05       0.01892      -12.4582              6
        3276  1.20954          0.168377         0.147407     -0.410584       1.05       0.01892      -12.4613              6
        3278  1.16663          0.159349         0.128863     -0.410541       1.05       0.01892      -12.4651              6
        3280  1.15684          0.11427          0.0987348    -0.411569       1.05       0.01892      -12.47                6
        3282  1.1757           0.113251         0.10291      -0.412651       1.05       0.01892      -12.4751              6
        3284  1.18188          0.133132         0.116017     -0.413325       1.05       0.01892      -12.4789              6
        3286  1.19321          0.147598         0.105858     -0.412749       1.05       0.01892      -12.4814              6
        3288  1.20651          0.155168         0.109789     -0.412412       1.05       0.01892      -12.4846              6
        3290  1.22463          0.149091         0.115986     -0.412294       1.05       0.01892      -12.4878              6
        3292  1.24678          0.171736         0.143916     -0.411975       1.05       0.01892      -12.491               6
        3294  1.28066          0.185517         0.157584     -0.412169       1.05       0.01892      -12.4945              6
        3296  1.32472          0.183189         0.168495     -0.412214       1.05       0.01892      -12.498               6
        3298  1.31454          0.179039         0.151118     -0.411751       1.05       0.01892      -12.5015              6
        3300  1.27471          0.135319         0.143358     -0.411962       1.05       0.01892      -12.5053              6
