# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where source = 'kyleplot' and Events.kyle_vel between -30 and -11.8 and Events.Av_25 > 0 and phase between -5 and 5 and filename like '%foundation%' and filename != 'kyle_foundation_2016cvv_phase=1.55477190182.txt'
# N = 8
# N_spec = 9
# phase = -0.44
# x1 = 0.54
# vel = -12.78
# z = 0.028

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper        Phase         x1    Redshift    Velocity    SNe per Bin
------------  ---------  ---------------  ---------------  -----------  ---------  ----------  ----------  -------------
        3144  0.374836       0.000179823      5.83057e-05  -0.300831    2.91874     0.01892      -13.0786              1
        3146  0.376005       0.000180384      5.84875e-05  -0.300831    2.91874     0.01892      -13.0786              1
        3148  0.505463       0.00024249       7.86248e-05  -0.300831    2.91874     0.01892      -13.0786              1
        3150  0.590281       0.000283181      9.18183e-05  -0.300831    2.91874     0.01892      -13.0786              1
        3152  0.760598       0.000364888      0.000118311  -0.300831    2.91874     0.01892      -13.0786              1
        3154  0.974183       0.000467353      0.000151534  -0.300831    2.91874     0.01892      -13.0786              1
        3156  1.28864        0.00061821       0.000200448  -0.300831    2.91874     0.01892      -13.0786              1
        3158  0.969783       0.000465242      0.00015085   -0.300831    2.91874     0.01892      -13.0786              1
        3160  0.795677       0.000381717      0.000123768  -0.300831    2.91874     0.01892      -13.0786              1
        3162  1.03638        0.000497189      0.000161208  -0.300831    2.91874     0.01892      -13.0786              1
        3164  1.23612        0.000593016      0.000192279  -0.300831    2.91874     0.01892      -13.0786              1
        3166  1.11597        0.000535375      0.00017359   -0.300831    2.91874     0.01892      -13.0786              1
        3168  0.724631       0.000347633      0.000112716  -0.300831    2.91874     0.01892      -13.0786              1
        3170  0.871229       0.000417962      0.00013552   -0.300831    2.91874     0.01892      -13.0786              1
        3172  0.981924       0.000471067      0.000152738  -0.300831    2.91874     0.01892      -13.0786              1
        3174  0.893954       0.000428864      0.000139055  -0.300831    2.91874     0.01892      -13.0786              1
        3176  0.80335        0.000385398      0.000124961  -0.300831    2.91874     0.01892      -13.0786              1
        3178  0.94201        0.000451918      0.00014653   -0.300831    2.91874     0.01892      -13.0786              1
        3180  0.992529       0.000476154      0.000154388  -0.300831    2.91874     0.01892      -13.0786              1
        3182  0.732681       0.000351495      0.000113969  -0.300831    2.91874     0.01892      -13.0786              1
        3184  0.677328       0.00032494       0.000105358  -0.300831    2.91874     0.01892      -13.0786              1
        3186  0.699256       0.00033546       0.000108769  -0.300831    2.91874     0.01892      -13.0786              1
        3188  0.904311       0.000433832      0.000140666  -0.300831    2.91874     0.01892      -13.0786              1
        3190  1.09637        0.000525969      0.00017054   -0.300831    2.91874     0.01892      -13.0786              1
        3192  0.870619       0.000417669      0.000135425  -0.300831    2.91874     0.01892      -13.0786              1
        3194  0.965003       0.000462949      0.000150106  -0.300831    2.91874     0.01892      -13.0786              1
        3196  0.794472       0.000381139      0.00012358   -0.300831    2.91874     0.01892      -13.0786              1
        3198  0.561149       0.000269205      8.72868e-05  -0.300831    2.91874     0.01892      -13.0786              1
        3200  0.839579       0.000402778      0.000130597  -0.300831    2.91874     0.01892      -13.0786              1
        3202  0.714121       0.000342591      0.000111082  -0.300831    2.91874     0.01892      -13.0786              1
        3204  0.648453       0.000311088      0.000100867  -0.300831    2.91874     0.01892      -13.0786              1
        3206  0.722624       0.00034667       0.000112404  -0.300831    2.91874     0.01892      -13.0786              1
        3208  0.914531       0.000438735      0.000142255  -0.300831    2.91874     0.01892      -13.0786              1
        3210  0.824177       0.000395389      0.000128201  -0.300831    2.91874     0.01892      -13.0786              1
        3212  0.600528       0.000288096      9.34122e-05  -0.300831    2.91874     0.01892      -13.0786              1
        3214  0.845617       0.000405675      0.000131536  -0.300831    2.91874     0.01892      -13.0786              1
        3216  0.888561       0.000426277      0.000138216  -0.300831    2.91874     0.01892      -13.0786              1
        3218  0.774006       0.00037132       0.000120397  -0.300831    2.91874     0.01892      -13.0786              1
        3220  0.839975       0.000402968      0.000130658  -0.300831    2.91874     0.01892      -13.0786              1
        3222  0.789909       0.00037895       0.00012287   -0.300831    2.91874     0.01892      -13.0786              1
        3224  1.00643        0.000482822      0.00015655   -0.300831    2.91874     0.01892      -13.0786              1
        3226  0.624653       0.00029967       9.71649e-05  -0.300831    2.91874     0.01892      -13.0786              1
        3228  0.713428       0.000342259      0.000110974  -0.300831    2.91874     0.01892      -13.0786              1
        3230  0.928334       0.000445357      0.000144402  -0.300831    2.91874     0.01892      -13.0786              1
        3232  0.805104       0.000386239      0.000125234  -0.300831    2.91874     0.01892      -13.0786              1
        3234  0.875693       0.000420103      0.000136214  -0.300831    2.91874     0.01892      -13.0786              1
        3236  0.79157        0.000379746      0.000123129  -0.300831    2.91874     0.01892      -13.0786              1
        3238  0.888036       0.000426025      0.000138134  -0.300831    2.91874     0.01892      -13.0786              1
        3240  0.934103       0.000448125      0.0001453    -0.300831    2.91874     0.01892      -13.0786              1
        3242  0.859969       0.00041256       0.000133768  -0.300831    2.91874     0.01892      -13.0786              1
        3244  0.739048       0.00035455       0.000114959  -0.300831    2.91874     0.01892      -13.0786              1
        3246  0.714545       0.000342794      0.000111147  -0.300831    2.91874     0.01892      -13.0786              1
        3248  0.776114       0.000372332      0.000120725  -0.300831    2.91874     0.01892      -13.0786              1
        3250  0.805929       0.000386635      0.000125362  -0.300831    2.91874     0.01892      -13.0786              1
        3252  0.874503       0.000419533      0.000136029  -0.300831    2.91874     0.01892      -13.0786              1
        3254  0.948326       0.000454948      0.000147512  -0.300831    2.91874     0.01892      -13.0786              1
        3256  0.977362       0.000468878      0.000152029  -0.300831    2.91874     0.01892      -13.0786              1
        3258  0.999235       0.000479371      0.000155431  -0.300831    2.91874     0.01892      -13.0786              1
        3260  1.00749        0.000483334      0.000156716  -0.300831    2.91874     0.01892      -13.0786              1
        3262  0.81429        0.000390646      0.000126663  -0.300831    2.91874     0.01892      -13.0786              1
        3264  0.701466       0.00033652       0.000109113  -0.300831    2.91874     0.01892      -13.0786              1
        3266  0.819023       0.000392916      0.000127399  -0.300831    2.91874     0.01892      -13.0786              1
        3268  0.942982       0.000452384      0.000146681  -0.300831    2.91874     0.01892      -13.0786              1
