# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where source = 'kyleplot' and Events.kyle_vel >= -11.8 and Events.Av_25 > 0 and phase between -3 and 5 and filename like '%foundation%' and filename != 'kyle_foundation_asassn16la_phase=-2.739901715.txt' and filename != 'kyle_foundation_2017cpu_phase=-1.61488826747.txt' and filename != 'kyle_foundation_2017ckx_phase=-5.02466525823.txt' and filename != 'kyle_foundation_asassn15np_phase=-1.63200650294.txt' and filename != 'kyle_foundation_asassn16jf_phase=-6.05004316433.txt' and filename != 'kyle_foundation_asassn15nr_phase=4.77672098892.txt' and filename != 'kyle_foundation_2016gsu_phase=-2.009279776.txt' and Events.SN != 'ps16fbb'
# N = 20
# N_spec = 20
# phase = 0.67
# x1 = -0.04
# vel = -10.51
# z = 0.036

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper       Phase            x1    Redshift    Velocity    SNe per Bin
------------  ---------  ---------------  ---------------  ----------  ------------  ----------  ----------  -------------
        3178  1.48811        0.000748182      0.000522578  -2.27077     1.31998       0.02332      -10.8346              1
        3180  1.44894        0.000728489      0.000508823  -2.27077     1.31998       0.02332      -10.8346              1
        3182  1.40129        0.000704529      0.000492088  -2.27077     1.31998       0.02332      -10.8346              1
        3184  1.26819        0.00063761       0.000445348  -2.27077     1.31998       0.02332      -10.8346              1
        3186  1.22441        0.000615597      0.000429973  -2.27077     1.31998       0.02332      -10.8346              1
        3188  1.24504        0.000625972      0.000437219  -2.27077     1.31998       0.02332      -10.8346              1
        3190  1.21304        0.000609882      0.000425981  -2.27077     1.31998       0.02332      -10.8346              1
        3192  1.28461        0.000645864      0.000451113  -2.27077     1.31998       0.02332      -10.8346              1
        3194  1.31165        0.000659462      0.000460611  -2.27077     1.31998       0.02332      -10.8346              1
        3196  1.26561        0.000636314      0.000444442  -2.27077     1.31998       0.02332      -10.8346              1
        3198  1.40174        0.000704756      0.000492247  -2.27077     1.31998       0.02332      -10.8346              1
        3200  1.47089        0.00073952       0.000516529  -2.27077     1.31998       0.02332      -10.8346              1
        3202  1.30722        0.000657231      0.000459053  -2.27077     1.31998       0.02332      -10.8346              1
        3204  1.22531        0.000616051      0.00043029   -2.27077     1.31998       0.02332      -10.8346              1
        3206  1.20571        0.000606199      0.000423408  -2.27077     1.31998       0.02332      -10.8346              1
        3208  1.1973         0.00060197       0.000420455  -2.27077     1.31998       0.02332      -10.8346              1
        3210  1.28215        0.000644628      0.00045025   -2.27077     1.31998       0.02332      -10.8346              1
        3212  1.31223        0.000659755      0.000460815  -2.27077     1.31998       0.02332      -10.8346              1
        3214  1.27299        0.000640026      0.000447036  -2.27077     1.31998       0.02332      -10.8346              1
        3216  1.15786        0.000582142      0.000406605  -2.27077     1.31998       0.02332      -10.8346              1
        3218  1.02746        0.00051658       0.000360813  -2.27077     1.31998       0.02332      -10.8346              1
        3220  1.13808        0.000572194      0.000399657  -2.27077     1.31998       0.02332      -10.8346              1
        3222  1.43223        0.000720085      0.000502954  -2.27077     1.31998       0.02332      -10.8346              1
        3224  1.52794        0.000768203      0.000536563  -2.27077     1.31998       0.02332      -10.8346              1
        3226  1.35421        0.000680862      0.000475558  -2.27077     1.31998       0.02332      -10.8346              1
        3228  1.31431        0.000660798      0.000461544  -2.27077     1.31998       0.02332      -10.8346              1
        3230  1.32468        0.000666012      0.000465186  -2.27077     1.31998       0.02332      -10.8346              1
        3232  1.2251         0.000615944      0.000430215  -2.27077     1.31998       0.02332      -10.8346              1
        3234  1.15922        0.000582824      0.000407082  -2.27077     1.31998       0.02332      -10.8346              1
        3236  1.08652        0.00054627       0.00038155   -2.27077     1.31998       0.02332      -10.8346              1
        3238  1.05245        0.000529143      0.000369588  -2.27077     1.31998       0.02332      -10.8346              1
        3240  1.15173        0.000579058      0.000404452  -2.27077     1.31998       0.02332      -10.8346              1
        3242  1.16339        0.00058492       0.000408546  -2.27077     1.31998       0.02332      -10.8346              1
        3244  1.18413        0.000595346      0.000415828  -2.27077     1.31998       0.02332      -10.8346              1
        3246  1.2475         0.00062721       0.000438084  -2.27077     1.31998       0.02332      -10.8346              1
        3248  1.19562        0.000601123      0.000419863  -2.27077     1.31998       0.02332      -10.8346              1
        3250  1.19105        0.000598826      0.000418259  -2.27077     1.31998       0.02332      -10.8346              1
        3252  1.17668        0.0005916        0.000413212  -2.27077     1.31998       0.02332      -10.8346              1
        3254  1.16751        0.000586989      0.000409991  -2.27077     1.31998       0.02332      -10.8346              1
        3256  1.25873        0.000632855      0.000442027  -2.27077     1.31998       0.02332      -10.8346              1
        3258  1.25705        0.000632009      0.000441436  -2.27077     1.31998       0.02332      -10.8346              1
        3260  1.17019        0.000588339      0.000410934  -2.27077     1.31998       0.02332      -10.8346              1
        3262  1.15502        0.000580714      0.000405608  -2.27077     1.31998       0.02332      -10.8346              1
        3264  1.23611        0.000621482      0.000434083  -2.27077     1.31998       0.02332      -10.8346              1
        3266  1.22577        0.000616281      0.000430451  -2.27077     1.31998       0.02332      -10.8346              1
        3268  1.1796         0.00059307       0.000414238  -2.27077     1.31998       0.02332      -10.8346              1
        3270  1.17767        0.000592098      0.00041356   -2.27077     1.31998       0.02332      -10.8346              1
        3272  1.14895        0.000577661      0.000403476  -2.27077     1.31998       0.02332      -10.8346              1
        3274  1.14766        0.000577014      0.000403024  -2.27077     1.31998       0.02332      -10.8346              1
        3276  1.17092        0.000588706      0.00041119   -2.27077     1.31998       0.02332      -10.8346              1
        3278  1.17005        0.000588268      0.000410884  -2.27077     1.31998       0.02332      -10.8346              1
        3280  1.23159        0.000619211      0.000432497  -2.27077     1.31998       0.02332      -10.8346              1
        3282  1.33232        0.000669855      0.00046787   -2.27077     1.31998       0.02332      -10.8346              1
        3284  1.2825         0.000644804      0.000450372  -2.27077     1.31998       0.02332      -10.8346              1
        3286  1.25271        0.000629826      0.000439911  -2.27077     1.31998       0.02332      -10.8346              1
        3288  1.29761        0.000652403      0.00045568   -2.27077     1.31998       0.02332      -10.8346              1
        3290  1.36233        0.000684943      0.000478408  -2.27077     1.31998       0.02332      -10.8346              1
        3292  1.40911        0.000708464      0.000494837  -2.27077     1.31998       0.02332      -10.8346              1
        3294  1.45218        0.000730116      0.00050996   -2.27077     1.31998       0.02332      -10.8346              1
        3296  1.41757        0.000712716      0.000497807  -2.27077     1.31998       0.02332      -10.8346              1
        3298  1.33067        0.000669021      0.000467288  -2.27077     1.31998       0.02332      -10.8346              1
        3300  1.40902        0.000708414      0.000494802  -2.27077     1.31998       0.02332      -10.8346              1
        3302  1.53646        0.000772489      0.000539556  -2.27077     1.31998       0.02332      -10.8346              1
        3304  1.59787        0.000803367      0.000561123  -2.27077     1.31998       0.02332      -10.8346              1
        3306  1.52427        0.000766362      0.000535277  -2.27077     1.31998       0.02332      -10.8346              1
        3308  1.4912         0.000749732      0.000523661  -2.27077     1.31998       0.02332      -10.8346              1
        3310  1.60173        0.000805305      0.000562477  -2.27077     1.31998       0.02332      -10.8346              1
        3312  1.57467        0.000791699      0.000552974  -2.27077     1.31998       0.02332      -10.8346              1
        3314  1.52826        0.000768367      0.000536677  -2.27077     1.31998       0.02332      -10.8346              1
        3316  1.65538        0.000832278      0.000581317  -2.27077     1.31998       0.02332      -10.8346              1
        3318  1.71442        0.000861961      0.000602049  -2.27077     1.31998       0.02332      -10.8346              1
        3320  1.68652        0.000847938      0.000592254  -2.27077     1.31998       0.02332      -10.8346              1
        3322  1.62635        0.000817685      0.000571124  -2.27077     1.31998       0.02332      -10.8346              1
        3324  1.53328        0.000770892      0.00053844   -2.27077     1.31998       0.02332      -10.8346              1
        3326  1.57286        0.00079079       0.000552339  -2.27077     1.31998       0.02332      -10.8346              1
        3328  1.6332         0.000821126      0.000573528  -2.27077     1.31998       0.02332      -10.8346              1
        3330  1.61006        0.000809493      0.000565402  -2.27077     1.31998       0.02332      -10.8346              1
        3332  1.56814        0.000788419      0.000550683  -2.27077     1.31998       0.02332      -10.8346              1
        3334  1.53406        0.00077128       0.000538712  -2.27077     1.31998       0.02332      -10.8346              1
        3336  1.31318        0.760125         0.116964     -2.26771     1.05753       0.0263629    -10.7464              2
        3338  1.28103        0.498038         0.10576      -2.26159     0.977169      0.0270182    -10.7527              3
        3340  1.30958        0.22345          0.127317     -2.26171     0.980989      0.0269778    -10.7535              3
        3342  1.3177         0.0815208        0.100859     -2.26183     0.984769      0.0269379    -10.7543              3
        3344  1.29117        0.0401363        0.132106     -2.26194     0.988498      0.0268985    -10.7551              3
        3346  1.33714        0.0462965        0.319745     -2.26205     0.992163      0.0268597    -10.7559              3
        3348  1.38024        0.0351191        0.0722942    -0.935554    0.686954      0.038        -10.5987              4
        3350  1.35976        0.0676572        0.102611     -0.941661    0.689891      0.0379328    -10.5998              4
        3352  1.39448        0.166233         0.147538     -0.947545    0.69275       0.0378678    -10.6008              4
        3354  1.38258        0.234472         0.154423     -0.953177    0.695517      0.0378052    -10.6017              4
        3356  1.36592        0.219647         0.155746     -0.958525    0.69818       0.0377455    -10.6027              4
        3358  1.36461        0.210013         0.138867     -0.963561    0.700723      0.0376889    -10.6036              4
        3360  1.33527        0.184532         0.114761     -0.968255    0.703134      0.0376357    -10.6044              4
        3362  1.30934        0.175767         0.111885     -0.972579    0.7054        0.0375862    -10.6052              4
        3364  1.34374        0.223233         0.156765     -0.976504    0.707508      0.0375408    -10.6059              4
        3366  1.36911        0.209958         0.157009     -0.980006    0.709446      0.0374998    -10.6065              4
        3368  1.37612        0.135706         0.11085      -0.983059    0.711204      0.0374633    -10.6071              4
        3370  1.36676        0.084836         0.0893657    -0.985641    0.712771      0.0374316    -10.6076              4
        3372  1.30251        0.0721105        0.0720149    -0.987731    0.714138      0.0374049    -10.608               4
        3374  1.25691        0.0649505        0.052573     -0.989311    0.715298      0.0373835    -10.6083              4
        3376  1.32711        0.119067         0.0875776    -0.990366    0.716244      0.0373675    -10.6086              4
        3378  1.34517        0.131672         0.103288     -0.990884    0.71697       0.037357     -10.6088              4
        3380  1.28372        0.0507739        0.0523777    -0.990854    0.717474      0.0373521    -10.6089              4
        3382  1.25138        0.0105565        0.0221185    -0.990272    0.717754      0.0373529    -10.6089              4
        3384  1.27316        0.0272111        0.0489522    -0.989133    0.717808      0.0373594    -10.6088              4
        3386  1.31733        0.0405147        0.0822404    -0.987439    0.717639      0.0373715    -10.6086              4
        3388  1.29682        0.0240735        0.0599468    -0.985195    0.717249      0.0373892    -10.6083              4
        3390  1.257          0.0240563        0.0439592    -0.982407    0.716642      0.0374125    -10.608               4
        3392  1.29339        0.0138625        0.040938     -0.979087    0.715825      0.0374411    -10.6076              4
        3394  1.33624        0.0119798        0.0251022    -0.97525     0.714806      0.0374749    -10.6071              4
        3396  1.35925        0.01154          0.0223981    -0.970913    0.713593      0.0375138    -10.6065              4
