# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase between -2 and 2 and ((dm15_source > 1. and dm15_source < 1.3) or (dm15_from_fits > 1. and dm15_from_fits < 1.3)) and si_v0 < -11800
# N = 15
# N_spec = 25
# phase = -0.26
# x1 = 1.13
# vel = -14.34
# z = nan

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper        Phase       x1    Redshift    Velocity    SNe per Bin
------------  ------------  ---------------  ---------------  -----------  -------  ----------  ----------  -------------
        3190  -1.08728          0.000197845      0.000302636  -1.47375     1.08            nan    -12.8693              1
        3192  -0.215379         3.9191e-05       5.99489e-05  -1.47375     1.08            nan    -12.8693              1
        3194   0.672923         0.000187303      0.000122447  -1.47375     1.08            nan    -12.8693              1
        3196   1.51203          0.000420862      0.000275135  -1.47375     1.08            nan    -12.8693              1
        3198   2.10047          0.000584649      0.000382209  -1.47375     1.08            nan    -12.8693              1
        3200   1.67937          0.000467439      0.000305584  -1.47375     1.08            nan    -12.8693              1
        3202   0.894607         0.000249007      0.000162786  -1.47375     1.08            nan    -12.8693              1
        3204   0.670952         0.000186754      0.000122089  -1.47375     1.08            nan    -12.8693              1
        3206   1.18573          0.000330037      0.000215759  -1.47375     1.08            nan    -12.8693              1
        3208   0.521042         0.000145028      9.48105e-05  -1.47375     1.08            nan    -12.8693              1
        3210  -0.531976         9.68001e-05      0.000148071  -1.47375     1.08            nan    -12.8693              1
        3212  -0.365316         6.64741e-05      0.000101683  -1.47375     1.08            nan    -12.8693              1
        3214   0.355884         9.90573e-05      6.47578e-05  -1.47375     1.08            nan    -12.8693              1
        3216   0.098232         2.73421e-05      1.78746e-05  -1.47375     1.08            nan    -12.8693              1
        3218  -0.831349         0.000151275      0.000231399  -1.47375     1.08            nan    -12.8693              1
        3220  -0.188677         3.43323e-05      5.25167e-05  -1.47375     1.08            nan    -12.8693              1
        3222   0.126246         3.51395e-05      2.29721e-05  -1.47375     1.08            nan    -12.8693              1
        3224  -0.181336         3.29964e-05      5.04733e-05  -1.47375     1.08            nan    -12.8693              1
        3226   0.114169         3.17781e-05      2.07747e-05  -1.47375     1.08            nan    -12.8693              1
        3228   1.67827          2.45135          0.00311299    0.624709    1.09            nan    -16.591               2
        3230   1.92354          2.91387          0.00362462    0.626838    1.09            nan    -16.591               2
        3232   2.20223          0.496937         0.00287619    0.628853    1.09            nan    -16.591               2
        3234   2.0965           0.000262899      0.27458       0.630856    1.09            nan    -16.591               2
        3236   2.00749          0.924971         0.00283952    0.632919    1.09            nan    -16.591               2
        3238   1.99429          1.92004          0.00328063    0.634862    1.09            nan    -16.5909              2
        3240   1.74923          1.54319          0.00281544    0.636794    1.09            nan    -16.5909              2
        3242   1.78842          1.66977          0.00292375    0.638721    1.09            nan    -16.5909              2
        3244   1.87822          2.10281          0.00323883    0.640737    1.09            nan    -16.5909              2
        3246   1.78568          1.10505          0.00266813    0.642754    1.09            nan    -16.5909              2
        3248   1.50272          0.00018844       0.165397      0.644722    1.09            nan    -16.5909              2
        3250   1.45415          0.000182349      0.721163      0.646682    1.09            nan    -16.5909              2
        3252   1.61401          0.000208474      0.64253       0.648566    1.09            nan    -16.5909              2
        3254   1.67047          0.301448         0.00215749    0.650452    1.09            nan    -16.5908              2
        3256   1.43747          0.0584702        0.33409      -0.232712    1.24051         nan    -12.6568              3
        3258   1.51687          0.0679384        0.387162     -0.232129    1.24045         nan    -12.6583              3
        3260   1.20239          0.121643         0.231102     -0.474165    1.14751         nan    -14.8995              4
        3262   1.17452          0.0959344        0.183788     -0.473641    1.14766         nan    -14.8959              4
        3264   1.18828          0.103981         0.163937     -0.473607    1.14739         nan    -14.9026              4
        3266   1.24032          0.15615          0.215555     -0.474049    1.14706         nan    -14.9107              4
        3268   1.23425          0.104059         0.201402     -0.474115    1.14691         nan    -14.9144              4
        3270   1.26217          0.16469          0.201268     -0.474186    1.14682         nan    -14.9165              4
        3272   1.27964          0.186477         0.24549      -0.432203    1.14407         nan    -15.1098              5
        3274   1.23876          0.164752         0.228645     -0.432882    1.14378         nan    -15.1159              5
        3276   1.25205          0.166338         0.235303     -0.433386    1.14364         nan    -15.1182              5
        3278   1.22602          0.136631         0.209131     -0.433769    1.14361         nan    -15.1181              5
        3280   1.19373          0.10529          0.164863     -0.435441    1.14323         nan    -15.1264              5
        3282   1.20693          0.112783         0.159579     -0.437172    1.14298         nan    -15.1311              5
        3284   1.23729          0.118117         0.187792     -0.438403    1.14273         nan    -15.1359              5
        3286   1.24955          0.136745         0.193995     -0.438174    1.14258         nan    -15.1391              5
        3288   1.25534          0.159636         0.206536     -0.438277    1.14241         nan    -15.1427              5
        3290   1.29036          0.147027         0.22652      -0.438874    1.14228         nan    -15.1427              5
        3292   1.29469          0.186305         0.264935     -0.438983    1.1422          nan    -15.1438              5
        3294   1.3058           0.192318         0.293325     -0.439721    1.14199         nan    -15.1475              5
        3296   1.36939          0.187095         0.29277      -0.440309    1.14185         nan    -15.1496              5
        3298   1.37464          0.182001         0.291571     -0.440359    1.14162         nan    -15.1546              5
        3300   1.31419          0.125706         0.250423     -0.441187    1.14094         nan    -15.1712              5
        3302   1.3484           0.119664         0.233365     -0.44172     1.14055         nan    -15.1804              5
        3304   1.39133          0.163595         0.246887     -0.441254    1.14069         nan    -15.1768              5
        3306   1.35367          0.187763         0.273446     -0.441927    1.14051         nan    -15.1808              5
        3308   1.39985          0.179848         0.291998     -0.442505    1.14046         nan    -15.1813              5
        3310   1.49414          0.183059         0.301145     -0.442542    1.14053         nan    -15.1793              5
        3312   1.48326          0.178205         0.261757     -0.442452    1.14065         nan    -15.1762              5
        3314   1.44829          0.13895          0.223543     -0.443072    1.14042         nan    -15.1813              5
        3316   1.4735           0.172844         0.253834     -0.443092    1.14042         nan    -15.1812              5
        3318   1.50043          0.200145         0.290743     -0.443254    1.14046         nan    -15.1799              5
        3320   1.5393           0.225967         0.319546     -0.442812    1.1405          nan    -15.1794              5
        3322   1.61261          0.294809         0.386266     -0.441275    1.14104         nan    -15.1666              5
        3324   1.64002          0.276068         0.389487     -0.439431    1.14187         nan    -15.1474              5
        3326   1.57566          0.214498         0.305512     -0.438676    1.14216         nan    -15.1408              5
        3328   1.61893          0.256425         0.348945     -0.440105    1.14182         nan    -15.1484              5
        3330   1.6727           0.275748         0.388387     -0.440312    1.14173         nan    -15.151               5
        3332   1.66168          0.263068         0.371103     -0.440893    1.14149         nan    -15.1567              5
        3334   1.64678          0.249343         0.358079     -0.441378    1.14152         nan    -15.1561              5
        3336   1.62765          0.238067         0.343464     -0.441462    1.14153         nan    -15.1562              5
        3338   1.61734          0.227551         0.327387     -0.441427    1.14158         nan    -15.1551              5
        3340   1.60343          0.228224         0.327108     -0.441679    1.14172         nan    -15.1519              5
        3342   1.57652          0.198628         0.307701     -0.441832    1.14162         nan    -15.1543              5
        3344   1.58076          0.159274         0.289451     -0.442913    1.14182         nan    -15.1502              5
        3346   1.57158          0.139574         0.269938     -0.443954    1.14178         nan    -15.1512              5
        3348   1.563            0.141539         0.252392     -0.44226     1.14152         nan    -15.1585              5
        3350   1.58642          0.177838         0.281872     -0.441461    1.1419          nan    -15.15                5
        3352   1.55833          0.164089         0.257397     -0.441075    1.14204         nan    -15.1477              5
        3354   1.56325          0.174226         0.266173     -0.440624    1.14219         nan    -15.1451              5
        3356   1.55873          0.169964         0.254033     -0.440208    1.14245         nan    -15.1403              5
        3358   1.54882          0.169019         0.235413     -0.440897    1.14238         nan    -15.1419              5
        3360   1.61111          0.18852          0.263717     -0.441231    1.14262         nan    -15.1352              5
        3362   1.56589          0.121814         0.225505     -0.593616    1.13747         nan    -14.6633              6
        3364   1.54943          0.0901466        0.184021     -0.593324    1.13672         nan    -14.6855              6
        3366   1.57914          0.110476         0.186651     -0.591626    1.13713         nan    -14.6812              6
        3368   1.59856          0.105295         0.170078     -0.58875     1.13808         nan    -14.665               6
        3370   1.58797          0.0865309        0.151308     -0.587429    1.13823         nan    -14.6653              6
        3372   1.56856          0.0959922        0.196051     -0.585862    1.13846         nan    -14.6646              6
        3374   1.59544          0.110638         0.216772     -0.584891    1.13842         nan    -14.6708              6
        3376   1.61584          0.11214          0.238037     -0.584031    1.1384          nan    -14.6756              6
        3378   1.58533          0.136995         0.228605     -0.582486    1.13851         nan    -14.6772              6
        3380   1.57892          0.151174         0.21827      -0.581606    1.13845         nan    -14.6834              6
        3382   1.60127          0.146952         0.238494     -0.58051     1.13845         nan    -14.6879              6
        3384   1.6037           0.131937         0.253483     -0.579402    1.13839         nan    -14.6939              6
        3386   1.60922          0.119925         0.228697     -0.578231    1.13866         nan    -14.6911              6
        3388   1.62636          0.134724         0.201534     -0.575364    1.13994         nan    -14.6592              6
        3390   1.62616          0.11971          0.162465     -0.575081    1.13967         nan    -14.6707              6
        3392   1.6459           0.129045         0.215911     -0.575625    1.13868         nan    -14.7045              6
        3394   1.62819          0.16114          0.243426     -0.5743      1.13871         nan    -14.7071              6
        3396   1.60451          0.140429         0.208747     -0.573238    1.13865         nan    -14.7131              6
        3398   1.64334          0.130746         0.19916      -0.571814    1.13879         nan    -14.7136              6
        3400   1.6364           0.134858         0.18397      -0.570802    1.13883         nan    -14.7155              6
        3402   1.61386          0.113441         0.171502     -0.569917    1.13887         nan    -14.717               6
        3404   1.64532          0.105933         0.186711     -0.568307    1.13803         nan    -14.7522              6
        3406   1.64472          0.0852824        0.158651     -0.567577    1.13788         nan    -14.7582              6
        3408   1.67862          0.0852386        0.159433     -0.567274    1.13777         nan    -14.762               6
        3410   1.66832          0.0679598        0.125502     -0.56581     1.13755         nan    -14.7715              6
        3412   1.68621          0.0739966        0.142897     -0.564583    1.13738         nan    -14.7795              6
        3414   1.68336          0.0873509        0.158046     -0.563673    1.13734         nan    -14.7832              6
        3416   1.67875          0.0801034        0.149139     -0.562845    1.1372          nan    -14.7904              6
        3418   1.73146          0.111626         0.198621     -0.561817    1.13732         nan    -14.7889              6
        3420   1.76284          0.112892         0.200403     -0.560997    1.13723         nan    -14.7932              6
        3422   1.73841          0.094072         0.181872     -0.560643    1.13716         nan    -14.7955              6
        3424   1.7742           0.106952         0.199861     -0.559838    1.13719         nan    -14.7962              6
        3426   1.78851          0.12196          0.200743     -0.558459    1.13692         nan    -14.8075              6
        3428   1.83409          0.114697         0.225572     -0.55778     1.13673         nan    -14.812               6
        3430   1.84643          0.114268         0.217952     -0.555774    1.13728         nan    -14.7997              6
        3432   1.82126          0.11055          0.18878      -0.554354    1.13761         nan    -14.7922              6
        3434   1.83748          0.130313         0.210035     -0.5536      1.13775         nan    -14.787               6
        3436   1.86222          0.139382         0.219845     -0.552887    1.13768         nan    -14.7899              6
        3438   1.88177          0.128791         0.215444     -0.5523      1.13751         nan    -14.794               6
        3440   1.8647           0.104886         0.192477     -0.551819    1.13731         nan    -14.7996              6
        3442   1.84439          0.0915228        0.170413     -0.551286    1.13734         nan    -14.7977              6
        3444   1.85281          0.0966558        0.184988     -0.55028     1.13731         nan    -14.7982              6
        3446   1.83555          0.0872432        0.143789     -0.549797    1.13723         nan    -14.7988              6
        3448   1.83272          0.0711061        0.121259     -0.549493    1.13721         nan    -14.7986              6
        3450   1.84958          0.06745          0.1171       -0.549355    1.13736         nan    -14.7933              6
        3452   1.84808          0.0631796        0.105517     -0.548725    1.13763         nan    -14.783               6
        3454   1.84352          0.0636671        0.110153     -0.548708    1.13732         nan    -14.7899              6
        3456   1.83248          0.073052         0.113466     -0.54871     1.13703         nan    -14.7952              6
        3458   1.81694          0.0605334        0.10446      -0.547961    1.13702         nan    -14.7935              6
        3460   1.84721          0.067855         0.0987267    -0.54786     1.13712         nan    -14.7878              6
        3462   1.88255          0.0624059        0.0882632    -0.547439    1.1372          nan    -14.7825              6
        3464   1.90447          0.0691829        0.105389     -0.547613    1.13731         nan    -14.7741              6
        3466   1.92912          0.0695974        0.112824     -0.548381    1.13723         nan    -14.771               6
        3468   1.93743          0.0755339        0.118678     -0.5484      1.13715         nan    -14.7676              6
        3470   1.95558          0.0627876        0.102782     -0.548482    1.13695         nan    -14.7674              6
        3472   1.97842          0.0710723        0.121535     -0.548494    1.13684         nan    -14.7655              6
        3474   1.99193          0.0820162        0.152595     -0.548492    1.13669         nan    -14.7662              6
