# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase between -2 and 2 and ((dm15_source > 1. and dm15_source < 1.3) or (dm15_from_fits > 1. and dm15_from_fits < 1.3)) and (si_v0 >= -11800 and si_v0 <= -8500)
# N = 38
# N_spec = 98
# phase = 0.11
# x1 = 1.14
# vel = -10.61
# z = nan

  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper         Phase       x1    Redshift    Velocity    SNe per Bin
------------  ---------  ---------------  ---------------  ------------  -------  ----------  ----------  -------------
        1672  0.103156       2.29237e-05      1.05541e-05   0.1          1.108           nan   -10.2698               1
        1674  0.0927017      2.06005e-05      9.48451e-06   0.1          1.108           nan   -10.2698               1
        1676  0.0917615      2.03916e-05      9.38831e-06   0.1          1.108           nan   -10.2698               1
        1678  0.0947299      2.10512e-05      9.69201e-06   0.1          1.108           nan   -10.2698               1
        1680  0.0741674      1.64818e-05      7.58822e-06   0.1          1.108           nan   -10.2698               1
        1682  0.0450677      1.00151e-05      4.61097e-06   0.1          1.108           nan   -10.2698               1
        1684  0.0961134      2.13587e-05      9.83356e-06   0.1          1.108           nan   -10.2698               1
        1686  0.095693       2.12653e-05      9.79055e-06   0.1          1.108           nan   -10.2698               1
        1688  0.0473407      1.05202e-05      4.84353e-06   0.1          1.108           nan   -10.2698               1
        1690  0.0576794      1.28177e-05      5.90129e-06   0.1          1.108           nan   -10.2698               1
        1692  0.0387888      8.6198e-06       3.96856e-06   0.1          1.108           nan   -10.2698               1
        1694  0.0481102      1.06912e-05      4.92226e-06   0.1          1.108           nan   -10.2698               1
        1696  0.0685131      1.52253e-05      7.00972e-06   0.1          1.108           nan   -10.2698               1
        1698  0.0614258      1.36503e-05      6.2846e-06    0.1          1.108           nan   -10.2698               1
        1700  0.0542145      1.20478e-05      5.5468e-06    0.1          1.108           nan   -10.2698               1
        1702  0.0567976      1.26218e-05      5.81108e-06   0.1          1.108           nan   -10.2698               1
        1704  0.0639669      1.4215e-05       6.54459e-06   0.1          1.108           nan   -10.2698               1
        1706  0.0685049      1.52234e-05      7.00888e-06   0.1          1.108           nan   -10.2698               1
        1708  0.0526636      1.17031e-05      5.38812e-06   0.1          1.108           nan   -10.2698               1
        1710  0.0530242      1.17832e-05      5.42502e-06   0.1          1.108           nan   -10.2698               1
        1712  0.0556957      1.23769e-05      5.69834e-06   0.1          1.108           nan   -10.2698               1
        1714  0.0326475      7.25506e-06      3.34024e-06   0.1          1.108           nan   -10.2698               1
        1716  0.059448       1.32108e-05      6.08225e-06   0.1          1.108           nan   -10.2698               1
        1718  0.0494083      1.09797e-05      5.05506e-06   0.1          1.108           nan   -10.2698               1
        1720  0.0582404      1.29424e-05      5.9587e-06    0.1          1.108           nan   -10.2698               1
        1722  0.0405546      9.0122e-06       4.14922e-06   0.1          1.108           nan   -10.2698               1
        1724  0.0518367      1.15193e-05      5.30351e-06   0.1          1.108           nan   -10.2698               1
        1726  0.0721073      1.6024e-05       7.37745e-06   0.1          1.108           nan   -10.2698               1
        1728  0.0571565      1.27015e-05      5.8478e-06    0.1          1.108           nan   -10.2698               1
        1730  0.0511662      1.13704e-05      5.23492e-06   0.1          1.108           nan   -10.2698               1
        1732  0.0438689      9.74871e-06      4.48832e-06   0.1          1.108           nan   -10.2698               1
        1734  0.0493153      1.0959e-05       5.04555e-06   0.1          1.108           nan   -10.2698               1
        1736  0.0435996      9.68887e-06      4.46076e-06   0.1          1.108           nan   -10.2698               1
        1738  0.0288552      6.41231e-06      2.95223e-06   0.1          1.108           nan   -10.2698               1
        1740  0.0455197      1.01156e-05      4.65722e-06   0.1          1.108           nan   -10.2698               1
        1742  0.0396832      8.81855e-06      4.06007e-06   0.1          1.108           nan   -10.2698               1
        1744  0.0549301      1.22068e-05      5.62002e-06   0.1          1.108           nan   -10.2698               1
        1746  0.0380236      8.44974e-06      3.89027e-06   0.1          1.108           nan   -10.2698               1
        1748  0.0445632      9.90302e-06      4.55936e-06   0.1          1.108           nan   -10.2698               1
        1750  0.0499988      1.11109e-05      5.11548e-06   0.1          1.108           nan   -10.2698               1
        1752  0.0444069      9.86827e-06      4.54336e-06   0.1          1.108           nan   -10.2698               1
        1754  0.0435943      9.68768e-06      4.46022e-06   0.1          1.108           nan   -10.2698               1
        1756  0.0329437      7.32087e-06      3.37053e-06   0.1          1.108           nan   -10.2698               1
        1758  0.0348956      7.75463e-06      3.57024e-06   0.1          1.108           nan   -10.2698               1
        1760  0.0409079      9.09071e-06      4.18537e-06   0.1          1.108           nan   -10.2698               1
        1762  0.0502775      1.11729e-05      5.14399e-06   0.1          1.108           nan   -10.2698               1
        1764  0.0342355      7.60795e-06      3.50271e-06   0.1          1.108           nan   -10.2698               1
        1766  0.0372937      8.28755e-06      3.8156e-06    0.1          1.108           nan   -10.2698               1
        1768  0.0426947      9.48778e-06      4.36818e-06   0.1          1.108           nan   -10.2698               1
        1770  0.0424851      9.4412e-06       4.34674e-06   0.1          1.108           nan   -10.2698               1
        1772  0.0364333      8.09635e-06      3.72757e-06   0.1          1.108           nan   -10.2698               1
        1774  0.0466945      1.03766e-05      4.77741e-06   0.1          1.108           nan   -10.2698               1
        1776  0.0528232      1.17386e-05      5.40445e-06   0.1          1.108           nan   -10.2698               1
        1778  0.0519073      1.1535e-05       5.31074e-06   0.1          1.108           nan   -10.2698               1
        1780  0.0472176      1.04929e-05      4.83093e-06   0.1          1.108           nan   -10.2698               1
        1782  0.0531999      1.18223e-05      5.44299e-06   0.1          1.108           nan   -10.2698               1
        1784  0.0524728      1.16607e-05      5.3686e-06    0.1          1.108           nan   -10.2698               1
        1786  0.0440074      9.77949e-06      4.50249e-06   0.1          1.108           nan   -10.2698               1
        1788  0.0306163      6.80367e-06      3.13242e-06   0.1          1.108           nan   -10.2698               1
        1790  0.0459618      1.02138e-05      4.70244e-06   0.1          1.108           nan   -10.2698               1
        1792  0.050187       1.11527e-05      5.13473e-06   0.1          1.108           nan   -10.2698               1
        1794  0.0515645      1.14589e-05      5.27567e-06   0.1          1.108           nan   -10.2698               1
        1796  0.059182       1.31517e-05      6.05503e-06   0.1          1.108           nan   -10.2698               1
        1798  0.0437147      9.71445e-06      4.47254e-06   0.1          1.108           nan   -10.2698               1
        1800  0.0431552      9.59012e-06      4.4153e-06    0.1          1.108           nan   -10.2698               1
        1802  0.0382993      8.51102e-06      3.91848e-06   0.1          1.108           nan   -10.2698               1
        1804  0.0335563      7.45701e-06      3.43321e-06   0.1          1.108           nan   -10.2698               1
        1806  0.0458354      1.01857e-05      4.68952e-06   0.1          1.108           nan   -10.2698               1
        1808  0.0535736      1.19053e-05      5.48123e-06   0.1          1.108           nan   -10.2698               1
        1810  0.0582395      1.29422e-05      5.9586e-06    0.1          1.108           nan   -10.2698               1
        1812  0.0565258      1.25614e-05      5.78327e-06   0.1          1.108           nan   -10.2698               1
        1814  0.0480991      1.06888e-05      4.92112e-06   0.1          1.108           nan   -10.2698               1
        1816  0.0458121      1.01805e-05      4.68713e-06   0.1          1.108           nan   -10.2698               1
        1818  0.0406324      9.02949e-06      4.15719e-06   0.1          1.108           nan   -10.2698               1
        1820  0.0513624      1.1414e-05       5.255e-06     0.1          1.108           nan   -10.2698               1
        1822  0.056486       1.25525e-05      5.7792e-06    0.1          1.108           nan   -10.2698               1
        1824  0.0655366      1.45638e-05      6.70518e-06   0.1          1.108           nan   -10.2698               1
        1826  0.0598044      1.329e-05        6.11872e-06   0.1          1.108           nan   -10.2698               1
        1828  0.0459455      1.02102e-05      4.70078e-06   0.1          1.108           nan   -10.2698               1
        1830  0.050903       1.13119e-05      5.20799e-06   0.1          1.108           nan   -10.2698               1
        1832  0.0576174      1.2804e-05       5.89496e-06   0.1          1.108           nan   -10.2698               1
        1834  0.063916       1.42037e-05      6.53938e-06   0.1          1.108           nan   -10.2698               1
        1836  0.0628065      1.39571e-05      6.42586e-06   0.1          1.108           nan   -10.2698               1
        1838  0.053827       1.19616e-05      5.50715e-06   0.1          1.108           nan   -10.2698               1
        1840  0.0566037      1.25787e-05      5.79124e-06   0.1          1.108           nan   -10.2698               1
        1842  0.0547642      1.21699e-05      5.60304e-06   0.1          1.108           nan   -10.2698               1
        1844  0.0614627      1.36585e-05      6.28837e-06   0.1          1.108           nan   -10.2698               1
        1846  0.0647711      1.43937e-05      6.62686e-06   0.1          1.108           nan   -10.2698               1
        1848  0.0610427      1.35651e-05      6.24541e-06   0.1          1.108           nan   -10.2698               1
        1850  0.0560576      1.24573e-05      5.73537e-06   0.1          1.108           nan   -10.2698               1
        1852  0.0578471      1.2855e-05       5.91846e-06   0.1          1.108           nan   -10.2698               1
        1854  0.0611351      1.35857e-05      6.25486e-06   0.1          1.108           nan   -10.2698               1
        1856  0.0540501      1.20112e-05      5.52998e-06   0.1          1.108           nan   -10.2698               1
        1858  0.0545503      1.21224e-05      5.58116e-06   0.1          1.108           nan   -10.2698               1
        1860  0.0720957      1.60214e-05      7.37626e-06   0.1          1.108           nan   -10.2698               1
        1862  0.0638823      1.41962e-05      6.53593e-06   0.1          1.108           nan   -10.2698               1
        1864  0.0560189      1.24487e-05      5.73141e-06   0.1          1.108           nan   -10.2698               1
        1866  0.072925       1.62057e-05      7.4611e-06    0.1          1.108           nan   -10.2698               1
        1868  0.0721187      1.60265e-05      7.37861e-06   0.1          1.108           nan   -10.2698               1
