,Host,Name,mass,mass_Burns18,mass_DES,mass_Jones18,mass_Neill,mass_PanSTARRS,mass_SDSS,mass_SNLS,mass_Wolf,masserr,subsample,symbol,vel,velerr,z,mass_Chang,mass_2MASS,mass_Conley11
34,,2006ot,11.3619387627,,,,,,,,,0.1584512819553814,CSP,o,-13.898,0.9080534125259372,,,11.3619387627,
53,,asassn15il,10.134,,,10.134,,,,,,0.1584512819553814,Foundation,o,-10.834621410599999,0.22057381984299998,,,,
54,,asassn15mg,10.134,,,10.134,,,,,,0.1584512819553814,Foundation,o,-10.65019,0.22988000000000003,,,,
57,,ps15coh,8.63,,,8.63,,,,,,0.1584512819553814,Foundation,o,-10.77892,0.22077,,,,
58,,asassn15sf,9.365,,,9.365,,,,,,0.1584512819553814,Foundation,o,-9.868771590569999,0.22027582799800002,,,,
62,,asassn15uw,10.418,,,10.418,,,,,,0.1584512819553814,Foundation,o,-12.3306965554,0.22264394018300002,,,,
66,,asassn16ch,10.01,,,,,,,,,0.1584512819553814,Foundation,o,-11.037470911700002,0.284133130944,,10.01,,
73,,asassn17aj,10.4833427389,,,,,,,,,0.1584512819553814,Foundation,o,-10.3601098911,0.220888306843,,,10.4833427389,
76,,2016cor,10.289000000000001,,,10.289000000000001,,,,,,0.1584512819553814,Foundation,o,-9.631223969439999,0.23182352792599997,,,,
77,,2016cvv,11.104834117200001,,,11.104834117200001,,,,,,0.1584512819553814,Foundation,o,-12.26477,0.5667300000000001,,,,
78,,2016gmg,11.397,,,11.397,,,,,,0.1584512819553814,Foundation,o,-10.9267107725,0.23257189189599997,,,,
79,,2016gsu,10.369000000000002,,,10.369000000000002,,,,,,0.1584512819553814,Foundation,o,-10.041125482,0.22654466138,,,,
80,,2016htn,10.74,,,10.74,,,,,,0.1584512819553814,Foundation,o,-10.324385267,0.234437624967,,,,
81,,2017cfc,10.6511974256,,,,,,,,,0.1584512819553814,Foundation,o,-10.0413878087,0.235142408765,,,10.6511974256,
82,,2017oz,10.036,,,10.036,,,,,,0.1584512819553814,Foundation,o,-13.7153495631,0.22102967244199997,,,,
83,,2017po,9.39,,,,,,,,,0.1584512819553814,Foundation,o,-12.718959086099998,0.22561028345400003,,9.39,,
84,,2017yk,10.625,,,10.625,,,,,,0.1584512819553814,Foundation,o,-10.4453963449,0.257299441313,,,,
85,,2017zd,10.113,,,10.113,,,,,,0.1584512819553814,Foundation,o,-10.6425645333,0.24778176870000002,,,,
86,,atlas16agv,5.0,,,5.0,,,,,,0.1584512819553814,Foundation,<,-10.100119591,0.230584656038,,,,
88,,atlas17ajn,10.624,,,10.624,,,,,,0.1584512819553814,Foundation,o,-10.3051740921,0.221740733516,,,,
90,,css160129,8.16,,,,,,8.16,,,0.1584512819553814,Foundation,s,-11.867747443499999,0.22270575228300002,,,,
94,,ps15bwh,5.0,,,5.0,,,,,,0.1584512819553814,Foundation,<,-11.320639756099999,0.256279344661,,,,
95,,ps15bzz,9.592,,,9.592,,,,,,0.1584512819553814,Foundation,o,-11.083748333499999,0.239087707965,,,,
97,,ps16bby,9.93,,,,,,9.93,,,0.1584512819553814,Foundation,s,-10.53757,0.22039,,,,
101,,ps16em,10.62,,,,,,10.62,,,0.1584512819553814,Foundation,s,-10.60943,0.22784000000000001,,,,
108,,ptss-16efw,10.739,,,10.739,,,,,,0.1584512819553814,Foundation,o,-10.395871178,0.279506153778,,,,
110,,2016coj,10.8344730876,,,,,,,,,0.1584512819553814,Foundation,o,-11.9507,0.22188000000000002,,,10.8344730876,
111,,asassn16hr,10.045,,,10.045,,,,,,0.1584512819553814,Foundation,o,-16.826539999999998,0.9398299999999999,,,,
113,,asassn16ad,9.457,,,9.457,,,,,,0.1584512819553814,Foundation,o,-12.353060000000001,0.22130999999999998,,,,
114,,2016glp,10.905,,,10.905,,,,,,0.1584512819553814,Foundation,o,-16.7718420223,0.235716433241,,,,
115,,2016hhv,11.495999999999999,,,11.495999999999999,,,,,,0.1584512819553814,Foundation,o,-11.4162123489,0.23659246163000003,,,,
118,,2017ciy,10.215,,,10.215,,,,,,0.1584512819553814,Foundation,o,-9.59062989343,0.22700801946199997,,,,
121,,2017coa,7.575,,,7.575,,,,,,0.1584512819553814,Foundation,o,-10.774047768299999,0.222075401835,,,,
123,,2017hn,10.65,,,,,,,,,0.1584512819553814,Foundation,o,-11.007048751600001,0.221207338034,,10.65,,
147,,1992al,10.1650806178,,,,,,,,,0.1584512819553814,old,o,-11.26,0.3,,,,10.1650806178
150,,1997br,8.71,,,,8.71,,,,,0.1584512819553814,old,o,-11.6,0.22,,,,
154,,1999ac,9.92,,,,,,,,,0.1584512819553814,old,o,-9.93,0.22,,,,9.92
173,,2006eu,11.071242446700001,,,,,,,,,0.1584512819553814,old,o,-11.38,0.26,,,11.071242446700001,
176,,2008dt,11.43,,,,,,,,,0.1584512819553814,old,o,-14.3,0.3,,11.43,,
177,NGC 799,2004dt,10.554400000000001,10.554400000000001,,,,,,,,0.1584512819553814,old,o,-15.93,0.22,0.01972,,,
178,UGC 12158,2004ef,10.8964,10.9012,10.992,10.796,,,,,,0.14427122605241408,old,o,-12.29,0.23,0.03097,,,
179,NGC 6928,2004eo,11.093466666666666,11.128400000000003,10.982,,11.17,,,,,0.14457121274844334,old,o,-10.57,0.22,0.014746868648710302,,,
180,UGC 11816,2004ey,10.005533333333332,10.107599999999998,9.95,9.959,,,,,,0.1400796281485003,old,o,-11.204,0.39911026045442627,0.015780000000000002,,,
181,ARP 327 NED04,2004gc,10.433200000000003,10.433200000000003,,,,,,,,0.1584512819553814,CSP,o,-10.3437051972,0.49168766750500004,0.032080000000000004,,,
182,MCG +03-22-020,2004gs,10.8204,10.8204,,,,,,,,0.1584512819553814,old,o,-11.482999999999999,0.23769728648009425,0.02751570221289556,,,
183,NGC 958,2005a,11.268,11.268,,,,,,,,0.1584512819553814,old,o,-14.04517,0.242381915373239,0.018352696517802327,,,
184,J14564322+0919361,2005ag,11.4636,11.4636,,,,,,,,0.1584512819553814,CSP,o,-11.558,0.43046486500061765,0.07937000000000001,,,
185,NGC 5304,2005al,10.863600000000002,10.863600000000002,,,,,,,,0.1584512819553814,CSP,o,-10.74226,0.24655,0.01239,,,
186,NGC 2811,2005am,11.169800000000002,10.829600000000003,,,11.51,,,,,0.36074373175427316,old,o,-12.157,0.2308679276123039,0.007890000000000001,,,
187,J14593310+1640070,2005be,10.526200000000001,10.687600000000003,10.31,10.581,,,,,,0.1991611073143221,CSP,o,-9.31752150063,0.617893000639,0.035,,,
188,MCG +03-31-93,2005bg,10.2412,10.2412,,,,,,,,0.1584512819553814,CSP,o,-10.793,0.3584536232206337,0.02307,,,
189,NGC 4708,2005bo,10.432266666666665,10.5,10.3578,10.439,,,,,,0.13338968809053017,old,o,99.9,99.9,0.013686000000000002,,,
190,NGC 1819,2005el,10.9652,10.9652,,,,,,,,0.1584512819553814,old,o,-10.8,0.22,0.01489363685059749,,,
191,MCG +00-06-003,2005hc,10.65068,10.900400000000001,10.61,10.523,10.54,,10.68,,,0.18189384156699803,old,o,-11.66,0.23,0.04503115285175053,,,
192,SDSS J012648.45-011417.3,2005hj,9.617,,,9.674,,,9.56,,,0.13284953895290696,CSP,o,-10.538,0.22606193841511665,0.057970000000000015,,,
193,MCG -03-01-008,2005iq,10.617625,10.7044,10.6001,10.826,10.34,,,,,0.2155996332905046,old,o,-10.86904,0.23098000000000002,0.032952796964625435,,,
194,NGC 7311,2005kc,10.952733333333333,10.9972,,10.890999999999998,10.97,,,,,0.12817491520921304,old,o,-10.63,0.23,0.013899615846906995,,,
195,NGC 3332,2005ki,11.082466666666667,11.1584,10.939,,11.15,,,,,0.15717220562880144,old,o,-11.28,0.25,0.01919,,,
196,2MASX J2259426500,2005ku,10.0034,10.1588,,,,,9.848,,,0.19633940001945557,CSP,o,-12.215,0.7308960254372712,0.04541,,,
197,ESO 545-G038,2005lu,10.3465,10.580000000000002,10.113,,,,,,,0.26253047442154315,CSP,o,-10.434771035199999,0.418065904892,0.03199,,,
198,UGC 04414,2005mc,10.953466666666666,10.8644,,11.046,10.95,,,,,0.141075992130325,CSP,o,-11.2819304526,0.236958168313,0.0252,,,
199,UGC 3634,2005na,11.054100000000002,11.039200000000001,,11.069,,,,,,0.12092150346402412,old,o,-10.74,0.23,0.02683189581773936,,,
200,MCG -01-33-34,2006d,10.029599999999999,10.029599999999999,,,,,,,,0.1584512819553814,old,o,-10.62228,0.22013000000000002,0.008939517751310475,,,
201,NGC 4321,2006x,10.801200000000001,10.7924,,,10.81,,,,,0.12032223402181326,old,o,-13.90271,0.22233000000000008,0.003192208391046316,,,
202,NGC 3663,2006ax,,10.822400000000002,,,10.81,,,,,,old,o,-10.26,0.23,0.016730000000000002,,,
