,Name,z_burns2018_bvriC,z_burns2018_griC,EBV,EBV_err,dm15,dm15_err,MV,MV_err,bv_source_w09,Type,foundation,csp,w09,vel,vel_err,vel_source,bv_source,z,z_err,z_wang09,c_sncosmo,c_err_sncosmo,chisq,mwebv_sncosmo,mwebv_err,success,t0,t0_err,x0_sncosmo,x0_err_sncosmo,x1_sncosmo,x1_err_sncosmo,z_cosana,Name_sncosmo,Survey_sncosmo,bands,bands2,Name_upper,Name_snana,zHEL,zCMB,zHD,mwebv_snana,SNRMAX1,SNRMAX2,PKMJD,PKMJDERR,x1_snana,x1_err_snana,c_snana,c_err_snana,mB,mBERR,x0_snana,x0_err_snana,FITCHI2,x0_offset,Survey_snana,first_fitmjd
0,2004dt,0.01972,0.01972,0.149,0.025,1.104,0.061,-19.58016078,0.022,TRUE,HV,FALSE,TRUE,TRUE,-15.93,0.22,local,b18,0.01972,,0.018826358,-0.043360113,0.025083649,791.1732413,0.022824912,0,1,53239.79122,0.025056269,0.014695076,0.000385763,-0.308954667,0.029818919,0.01972,2004dt,LOSS,BRV                 ,BIRV                ,SN2004DT,SN2004DT,0.01972,0.01972,0.01972,0.0228255,108.57375,108.5737,53239.793,0.025,-0.30424,0.029906,-0.0409757,0.0245329,14.94887,0.0287494,0.0188127,0.000498144,802.49811,0.01467071,LOSS,53228.98
1,2004ef,0.03097,0.03097,0.162,0.016,1.331,0.06,-18.91795622,0.003,TRUE,HV,FALSE,TRUE,TRUE,-12.29,0.23,local,b18,0.03097,,0.029790609,0.082941203,0.0211687,185.5189806,0.047228477,0,1,53264.21851,0.025696629,0.003218451,6.15E-05,-1.40395539,0.022520119,0.03097,2004ef,CSP,BVgr                ,BVgir               ,SN2004EF,SN2004EF,0.03097,0.03097,0.03097,0.0472282,217.1489,217.1488,53264.223,0.026,-1.39889,0.0221976,0.087047,0.0211032,16.60687,0.0226646,0.00408558,8.53E-05,191.55783,0.003186058,CSP,53255.191
2,2004eo,0.01569,0.01569,0.13,0.025,1.314,0.06,-19.08577057,0.008,TRUE,N,FALSE,TRUE,TRUE,-10.57,0.22,local,b18,0.014746869,,0.014746869,0.00617361,0.021656282,225.285733,0.092896871,0,1,53278.42253,0.025496275,0.016280375,0.000322368,-1.222335927,0.020345229,0.014746869,2004eo,CSP,BVgr                ,BVgir               ,SN2004EO,SN2004EO,0.01475,0.01475,0.01475,0.0928968,271.43478,271.43475,53278.422,0.025,-1.222,0.0203079,0.00474963,0.0215837,14.84109,0.0280247,0.020776,0.000536264,219.7968,0.01620175,CSP,53266.02
3,2004ey,0.01578,0.01578,0.026,0.018,0.967,0.06,-19.34272214,0.002,TRUE,N,FALSE,TRUE,TRUE,-11.204,0.39911026,csp,b18,0.01578,,0.014803575,-0.141589835,0.020416432,255.4835233,0.118187164,0,1,53304.54075,0.02329269,0.023074982,0.00043287,0.080654465,0.01828216,0.01578,2004ey,CSP,BVgr                ,BVgir               ,SN2004EY,SN2004EY,0.01578,0.01578,0.01578,0.11819,271.43484,271.43423,53304.531,0.023,0.0800672,0.0180084,-0.130556,0.0203613,14.45864,0.0300894,0.029549,0.000818902,220.74315,0.0230432,CSP,53295.031
4,2004gc,0.03208,0.03208,0.226,0.051,1.079,0.076,-19.15243997,0.046,,,FALSE,TRUE,FALSE,-10.3437052,0.491687668,local,b18,0.03208,,,0.090049938,0.022622199,322.9781082,0.17722747,0,1,53326.28603,0.162091497,0.003351607,7.45E-05,-0.643174718,0.038088038,0.03208,2004gc,CSP,BVgr                ,BVgir               ,SN2004GC,SN2004GC,0.03208,0.03208,0.03208,0.17723,155.10596,155.10558,53326.262,0.137,-0.638214,0.0351556,0.0920269,0.0232068,16.55095,0.0412566,0.0043015,0.000163452,312.80429,0.003354439,CSP,53329.328
5,2004gs,0.02663,0.02663,0.19,0.014,1.557,0.06,-18.35076913,0.005,TRUE,N,FALSE,TRUE,TRUE,-11.483,0.237697286,csp,b18,0.027515702,,0.027515702,0.080984973,0.023444832,431.1781655,0.026477212,0,0,53356.81439,3.34E-08,0.002499885,5.20E-05,-1.933747481,0.031766311,0.027515702,2004gs,CSP,BVgr                ,BVgir               ,SN2004GS,SN2004GS,0.02752,0.02752,0.02752,0.0264773,180.95691,180.95627,53356.027,0.058,-1.88485,0.0313688,0.12338,0.0223669,16.8984,0.0222001,0.00312348,6.39E-05,271.70096,0.002435784,CSP,53352.352
6,2005a,0.01913,0.01913,1.165,0.021,1.057,0.064,-17.46301534,0.015,TRUE,HV,FALSE,TRUE,TRUE,-14.04517,0.242381915,local,b18,0.018352697,,0.018352697,0.976640722,0.02251451,276.5218976,0.025963983,0,1,53380.00099,0.05986351,0.000956433,2.07E-05,-0.413645385,0.032946788,0.018352697,2005a,CSP,BVgr                ,BVgir               ,SN2005A,SN2005A,0.01835,0.01835,0.01835,0.025964,135.71751,120.6371,53380.004,0.059,-0.419117,0.0325582,0.98123,0.0223814,17.92908,0.0241648,0.00120884,2.69E-05,292.14246,0.00094269,CSP,53376.148
7,2005ag,0.07937,0.07937,0.031,0.018,0.916,0.06,-19.33403621,0.005,,,FALSE,TRUE,FALSE,-11.558,0.430464865,csp,b18,0.07937,,,-0.048333774,0.023121333,151.9533992,0.03436078,0,1,53414.82173,0.086539171,0.000740483,1.39E-05,0.311841118,0.04515186,0.07937,2005ag,CSP,BVgr                ,BVgir               ,SN2005AG,SN2005AG,0.07937,0.07937,0.07937,0.0343608,120.63909,120.63866,53414.84,0.085,0.27004,0.0452201,-0.0449314,0.0227215,18.19118,0.0210769,0.000949571,1.84E-05,148.95433,0.000740504,CSP,53412.32
8,2005al,0.01239,0.01239,0.009,0.009,1.34,0.06,-18.69494181,0.005,,,FALSE,TRUE,FALSE,-10.74226,0.24655,local,b18,0.01239,,,-0.128913308,0.022595814,214.819977,0.047773928,0,1,53430.7017,0.086400337,0.020115576,0.000401027,-1.324580786,0.030506643,0.01239,2005al,CSP,BVgr                ,BVgir               ,SN2005AL,SN2005AL,0.01239,0.01239,0.01239,0.0477741,217.14751,217.14748,53430.676,0.014,-1.31194,0.024521,-0.128524,0.0227247,14.61471,0.0238513,0.0255927,0.000562217,279.85605,0.019957958,CSP,53429.262
9,2005am,0.00789,0.00789,0.078,0.016,1.49,0.06,-19.02550938,0.004,TRUE,N,FALSE,TRUE,TRUE,-12.157,0.230867928,csp,b18,0.00789,,0.007698659,0.005051263,0.02371577,111.8009513,0.046124027,0,1,53436.18089,0.106313274,0.06183571,0.001297855,-1.874719539,0.031535073,0.00789,2005am,CSP,BVgr                ,BVgir               ,SN2005AM,SN2005AM,0.00789,0.00789,0.00789,0.0461239,361.91214,361.9119,53436.176,0.099,-1.85762,0.0304345,0.00674008,0.023377,13.39893,0.0245318,0.0784201,0.00177187,131.87617,0.061154355,CSP,53436.129
