Num Name vel vel_err mures mures_err x1 c 
0 1994m -12.27 0.13 -0.1644 0.0978 -1.43321 0.0653551 
1 2003it -11.29 0.07 -0.0661 0.1061 -1.59553 0.0485026 
2 1999dq -10.8 0.07 -0.2163 0.1509 0.8703 0.0330588 
3 2002eu -11.19 0.05 -0.1631 0.1735 -2.06574 0.0689389 
4 2008c -11.0 0.05 -0.0857 0.1239 -0.725556 0.1156 
5 2002bf -15.13 0.05 -0.1055 0.151 -2.29628 -0.0958711 
6 2006is -13.55 0.08 -0.0704 0.1063 2.4433 -0.0667162 
7 2001en -12.57 0.08 -0.1555 0.1348 -1.12549 0.0547637 
8 2006et -9.63 0.06 -0.196 0.0922 0.7568 0.1423 
9 2007ae -11.78 0.39 -0.1917 0.0658 1.6353 0.00982209 
10 2004ef -11.49 0.06 -0.0599 0.0758 -1.40156 0.0836825 
11 2007nq -11.49 0.0 -0.0319 0.0614 -1.7092 -0.0489299 
12 2005na -10.31 0.08 -0.1206 0.0918 -0.415475 -0.0281352 
13 2007co -11.58 0.07 -0.1644 0.0978 -1.43321 0.0653551 
14 1997y -10.7 0.05 -0.1024 0.1239 -1.07426 0.00814199 
15 1998dx -10.51 0.12 -0.1772 0.0758 -1.58763 -0.0968185 
16 2006sr -11.58 0.02 -0.0246 0.0998 -1.4246 0.0111358 
17 2001da -11.78 0.13 -0.1364 0.1532 -0.715734 0.1027 
18 2001fe -11.29 0.05 -0.0735 0.1261 0.6159 -0.0200103 
19 2000fa -11.19 0.11 -0.1055 0.1009 0.4862 0.0543856 
20 2008bf -11.39 0.05 -0.2085 0.094 0.3072 -0.0198939 
21 2007bc -10.22 0.1 -0.0708 0.1031 -1.17244 0.0430286 
22 2004l -9.34 0.2 -0.1003 0.099 -1.14613 0.1985 
23 2002he -12.07 0.0 -0.0092 0.1018 -1.83266 -0.0295058 
24 2001g -11.58 0.07 -0.1641 0.1351 0.2139 -0.0300653 
25 2008bq -10.51 0.07 -0.0614 0.0778 0.3554 0.0534826 
26 2006ac -13.15 0.25 -0.0737 0.0979 -1.03034 0.0473401 
27 2008l -11.49 0.05 -0.026 0.1334 -1.68199 -0.0965636 
28 2006cp -12.47 0.07 -0.0473 0.1028 0.3595 0.080036 
29 2006bq -12.76 0.27 -0.0013 0.1028 -1.70555 0.0632346 
30 2005eq -10.12 0.07 0.1457 0.0775 1.2734 0.0126785 
31 2002kf -11.39 0.12 0.135 0.1137 -1.15153 -0.0325287 
32 2002ck -10.12 0.05 0.0037 0.0882 0.1322 -0.0283628 
33 2003iv -10.7 0.12 0.1046 0.0932 -2.10562 -0.0552041 
34 2003ch -10.9 0.06 0.1502 0.0927 -1.30453 -0.0154138 
35 2005el -10.9 0.09 0.0307 0.1318 -1.35488 -0.135924 
36 2000cf -9.73 0.07 0.0934 0.0755 -0.521629 -0.0245362 
37 2006cj -10.61 0.05 0.2135 0.0896 2.1201 -0.0694886 
38 2006al -10.12 0.24 0.1328 0.07 -1.40139 -0.0910073 
39 2006n -10.9 0.03 0.1099 0.1423 -2.06224 -0.0271886 
40 1998eg -11.0 0.15 0.072 0.1016 -0.489371 0.0165965 
41 2002de -11.58 0.1 0.251 0.0992 0.4583 0.1152 
42 1999ej -10.61 0.09 0.2033 0.1419 -1.51682 -0.0151465 
43 2005mc -10.8 0.13 0.0105 0.0998 -2.6748 0.2355 
44 2004as -11.0 0.19 0.1877 0.0865 0.4069 0.033411 
45 2007f -10.9 0.04 0.0844 0.0937 0.5366 -0.0388074 
46 2007ca -10.61 0.06 0.3564 0.1363 0.5922 0.2322 
47 2005hc -11.1 0.04 0.0874 0.0511 0.425 -0.00579479 
48 2002ha -10.9 0.09 0.1265 0.1557 -1.37578 -0.0467151 
49 1996c -10.7 0.05 0.2193 0.0959 0.6374 0.0700634 
50 2006eq -10.31 0.27 0.1694 0.0747 -2.083 0.0969351 
51 2006ef -11.98 0.04 0.0752 0.1242 -1.4594 -0.0161034 
52 2007a -10.61 0.07 0.2666 0.1201 0.4613 0.1211 
53 2002dp -10.9 0.2 0.1414 0.1863 -0.279289 0.095423 
54 1993ac -11.98 0.02 0.0106 0.0807 -0.902764 0.0258872 
55 2000dk -11.1 0.16 0.0016 0.1271 -2.0428 -0.015223 
56 2002cr -9.83 0.1 0.0671 0.1876 -0.506246 -0.0164778 
57 2006mp -9.15 0.01 0.1969 0.1039 0.9113 0.0245584 
58 2002bz -11.49 0.16 0.0426 0.1064 -1.17993 -0.111899 
59 2006or -11.39 0.29 0.3434 0.1228 -1.21636 0.21 
60 2006mo -10.31 0.11 0.0879 0.0878 -2.20453 0.0380229 
61 2005kc -10.31 0.09 0.023 0.1368 -0.725132 0.177 
