,Name,phase,choice,vel_dettman,vel_dettman_err,vel_siebert,vel_siebert_err
0,2016afk,-5.211334984,average,-12.46042844,0.222427231,-12.78914771,0.250599282
1,2016ajf,-5.15723591,dettman,-9.278197035,0.274472903,-9.853509005,0.234093998
2,2016aqa,0.985217938,dettman,-12.74022398,0.223722171,-12.17546764,0.255538647
3,2016aqb,-5.860771402,same,-10.32007745,0.226899936,-10.330736,0.228035085
4,2016ayg,-8.145454545,average,-10.43791123,0.231826681,-10.39501279,0.348281495
5,2016blg,4.661971831,same,-10.91266866,0.316295056,-10.92070505,0.228035085
6,2016blh,0.778472358,dettman,-10.91073264,0.232763916,-10.95268423,0.474130784
7,2016blm,-0.147572816,siebert,-11.3971209,0.225874727,-12.05477583,0.364005494
8,2016cor,-2.608754477,same,-9.631223969,0.231823528,-9.477377375,0.228035085
9,2016cyt,-6.340105167,dettman,-11.20822525,0.237883249,-11.52424033,0.234093998
10,2016eoa,-8.507888011,same,-13.02593199,0.220617882,-13.08112237,0.223606798
11,2016esh,-5.964160089,same,-10.44867908,0.224107439,-10.65377184,0.223606798
12,2016fbk,-7.255771746,dettman,-10.62647048,0.233669772,-10.51193101,0.237697286
13,2016gfr,-9.113862297,average,-12.30263977,0.247759162,-11.57158095,0.311126984
14,2016glp,8.879484821,dettman,-16.77184202,0.235716433,-15.43151711,0.348281495
15,2016glz,-8.976037228,dettman,-14.76283271,0.248234567,-14.25738225,0.311126984
16,2016gmg,-2.206897603,same,-10.92671077,0.232571892,-10.85741507,0.500899191
17,2016grz,-7.273229071,same,-10.33624308,0.360232651,-10.43015021,0.228035085
18,2016gsu,-1.531002759,dettman,-10.04112548,0.226544661,-9.784001266,0.325576412
19,2016hhv,2.516007533,average,-11.32740237,0.225999984,-11.50502233,0.230867928
20,2016hnk,16.41038725,siebert,-9.68846442,0.222858557,-11.11789759,0.237697286
21,2016hpx,-9.136495644,dettman,-8.07630996,0.223628295,-12.10319876,0.245967478
22,2016htm,-10.54755043,same,-10.62669538,0.223519664,-10.59698571,0.234093998
23,2016htn,-4.729344729,dettman,-10.32438527,0.234437625,-9.952281111,0.27202941
24,2016ixf,5.892009531,same,-10.84265517,0.220530687,-10.89846323,0.234093998
25,2016w,-8.783883884,dettman,-10.84903448,0.225750741,-11.13419841,0.245967478
26,2017cfc,0.434558854,average,-9.944765797,0.221115247,-10.13800982,0.234093998
27,2017cii,0.464559078,same,-10.15826616,0.222030632,-10.24079063,0.290688837
28,2017ciy,-1.404807692,dettman,-9.590629893,0.227008019,-10.24685565,0.27202941
29,2017ckx,-5.438303826,dettman,-9.8584075,0.230632626,-10.67974952,0.546260011
30,2017coa,-5.592344498,dettman,-10.77404777,0.222075402,-10.91781,0.325576412
31,2017cpu,-1.292672784,same,-11.44569539,0.227494106,-11.56694835,0.234093998
32,2017dfq,-6.141726131,same,-11.16571931,0.220853707,-11.21289055,0.225610283
33,2017dfu,0.643062201,dettman,-9.309434026,0.221325905,-9.544358514,0.266270539
34,2017dgi,-3.805509262,unclear,-12.05724652,0.293451257,-12.60053354,0.234093998
35,2017hn,-4.017188841,same,-11.00704875,0.221207338,-10.92208864,0.228035085
36,2017jl,-9.757843137,same,-11.18373671,0.22314631,-11.23189519,0.228035085
37,2017lc,5.88952381,same,-12.71257171,0.223193334,-12.5888732,0.255538647
38,2017lm,-6.683033808,siebert,-10.46120035,0.220294648,-10.70172167,0.230867928
39,2017mf,-4.051953927,same,-10.58758392,0.221157772,-10.57504934,0.225610283
40,2017ms,-6.050859234,same,-11.23035811,0.220733505,-11.21867451,0.222036033
41,2017mu,6.042533518,dettman,-9.166797972,0.343405216,-9.582302517,0.348281495
42,2017ns,-7.041541006,average,-11.85731891,0.224603334,-11.40165505,0.27202941
43,2017oz,-3.559760498,same,-13.71534956,0.221029672,-13.59608965,0.222036033
44,2017po,-0.329512283,siebert,-12.27546469,0.220284398,-12.71895909,0.225610283
45,2017wb,-6.939805825,dettman,-12.81254987,0.241093145,-13.50090813,0.230867928
46,2017yk,-4.673946594,average,-10.34575715,0.222042794,-10.54503554,0.255538647
47,2017zd,-4.010801675,average,-10.44236931,0.222026586,-10.84275976,0.245967478
48,asassn-15fa,-2.174536855,dettman,-10.24457684,0.22188618,-9.943498384,0.223606798
49,asassn-15go,0.28755853,same,-13.07863594,0.22046816,-13.09933762,0.230867928
50,asassn-15il,-2.382450778,same,-10.83462141,0.22057382,-10.75400583,0.222036033
51,asassn-15kx,-7.524417521,average,-11.06155611,0.222531438,-11.68366716,0.325576412
52,asassn-15lg,-7.271472557,siebert,-11.85651781,0.220645099,-12.1804272,0.237697286
53,asassn-15mf,14.98870901,siebert,-12.25346797,0.224329444,-11.11059662,0.237697286
54,asassn-15np,-1.532259852,same,-9.292179382,0.259981847,-9.412302648,0.250599282
55,asassn-15nr,4.783982893,dettman,-10.58852649,0.225788928,-9.771864388,0.348281495
56,asassn-15od,-1.447519317,siebert,-11.52802056,0.220351432,-11.92664082,0.234093998
